"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Percent Male!!Estimate","United States!!Percent Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","United States!!Percent Female!!Estimate","United States!!Percent Female!!Margin of Error"
"Total population","340,110,990","*****","(X)","(X)","168,294,343","±32,107","(X)","(X)","171,816,647","±32,107","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","18,365,047","±18,704","5.4%","±0.1","9,370,856","±21,642","5.6%","±0.1","8,994,191","±18,211","5.2%","±0.1"
"        5 to 9 years","19,806,742","±65,396","5.8%","±0.1","10,123,467","±42,632","6.0%","±0.1","9,683,275","±40,981","5.6%","±0.1"
"        10 to 14 years","21,346,363","±65,976","6.3%","±0.1","10,976,815","±42,333","6.5%","±0.1","10,369,548","±43,418","6.0%","±0.1"
"        15 to 19 years","22,449,564","±41,128","6.6%","±0.1","11,503,628","±31,118","6.8%","±0.1","10,945,936","±30,482","6.4%","±0.1"
"        20 to 24 years","22,232,555","±38,762","6.5%","±0.1","11,386,304","±25,087","6.8%","±0.1","10,846,251","±24,258","6.3%","±0.1"
"        25 to 29 years","22,323,951","±32,411","6.6%","±0.1","11,310,221","±21,288","6.7%","±0.1","11,013,730","±20,511","6.4%","±0.1"
"        30 to 34 years","23,874,454","±27,146","7.0%","±0.1","12,049,960","±18,530","7.2%","±0.1","11,824,494","±18,289","6.9%","±0.1"
"        35 to 39 years","23,255,856","±79,543","6.8%","±0.1","11,736,345","±53,647","7.0%","±0.1","11,519,511","±48,734","6.7%","±0.1"
"        40 to 44 years","22,701,029","±81,788","6.7%","±0.1","11,427,109","±54,310","6.8%","±0.1","11,273,920","±49,310","6.6%","±0.1"
"        45 to 49 years","20,348,201","±28,210","6.0%","±0.1","10,142,209","±18,054","6.0%","±0.1","10,205,992","±18,682","5.9%","±0.1"
"        50 to 54 years","20,474,684","±28,087","6.0%","±0.1","10,186,138","±16,961","6.1%","±0.1","10,288,546","±19,386","6.0%","±0.1"
"        55 to 59 years","19,958,796","±64,318","5.9%","±0.1","9,826,949","±41,254","5.8%","±0.1","10,131,847","±39,853","5.9%","±0.1"
"        60 to 64 years","21,728,465","±68,510","6.4%","±0.1","10,571,031","±42,931","6.3%","±0.1","11,157,434","±40,495","6.5%","±0.1"
"        65 to 69 years","19,356,883","±56,140","5.7%","±0.1","9,189,235","±36,643","5.5%","±0.1","10,167,648","±36,504","5.9%","±0.1"
"        70 to 74 years","16,228,208","±55,248","4.8%","±0.1","7,555,183","±34,962","4.5%","±0.1","8,673,025","±35,777","5.0%","±0.1"
"        75 to 79 years","11,962,541","±47,920","3.5%","±0.1","5,403,472","±25,680","3.2%","±0.1","6,559,069","±35,130","3.8%","±0.1"
"        80 to 84 years","7,354,498","±39,474","2.2%","±0.1","3,166,864","±23,622","1.9%","±0.1","4,187,634","±29,592","2.4%","±0.1"
"        85 years and over","6,343,153","±34,356","1.9%","±0.1","2,368,557","±20,795","1.4%","±0.1","3,974,596","±25,125","2.3%","±0.1"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","41,153,105","±39,134","12.1%","±0.1","21,100,282","±23,317","12.5%","±0.1","20,052,823","±26,149","11.7%","±0.1"
"        15 to 17 years","13,411,160","±22,154","3.9%","±0.1","6,884,490","±21,176","4.1%","±0.1","6,526,670","±18,517","3.8%","±0.1"
"        Under 18 years","72,929,312","±31,522","21.4%","±0.1","37,355,628","±31,612","22.2%","±0.1","35,573,684","±33,676","20.7%","±0.1"
"        18 to 24 years","31,270,959","±48,363","9.2%","±0.1","16,005,442","±29,069","9.5%","±0.1","15,265,517","±26,562","8.9%","±0.1"
"        15 to 44 years","136,837,409","±35,009","40.2%","±0.1","69,413,567","±31,671","41.2%","±0.1","67,423,842","±31,154","39.2%","±0.1"
"        16 years and over","276,249,478","±52,420","81.2%","±0.1","135,592,747","±38,117","80.6%","±0.1","140,656,731","±38,622","81.9%","±0.1"
"        18 years and over","267,181,678","±31,516","78.6%","±0.1","130,938,715","±26,572","77.8%","±0.1","136,242,963","±22,586","79.3%","±0.1"
