"Label (Grouping)","United States!!Households!!Estimate","United States!!Households!!Margin of Error","United States!!Families!!Estimate","United States!!Families!!Margin of Error","United States!!Married-couple families!!Estimate","United States!!Married-couple families!!Margin of Error","United States!!Nonfamily households!!Estimate","United States!!Nonfamily households!!Margin of Error"
"Total","132,737,146","±140,273","84,966,539","±137,371","61,980,084","±185,731","47,770,607","±112,519"
"    Less than $10,000","5.1%","±0.1","3.1%","±0.1","1.4%","±0.1","9.6%","±0.1"
"    $10,000 to $14,999","3.3%","±0.1","1.6%","±0.1","0.8%","±0.1","6.5%","±0.1"
"    $15,000 to $24,999","6.0%","±0.1","3.7%","±0.1","2.2%","±0.1","10.5%","±0.1"
"    $25,000 to $34,999","6.3%","±0.1","4.6%","±0.1","3.0%","±0.1","9.9%","±0.1"
"    $35,000 to $49,999","9.9%","±0.1","8.2%","±0.1","6.1%","±0.1","13.6%","±0.1"
"    $50,000 to $74,999","15.6%","±0.1","14.6%","±0.1","12.8%","±0.1","17.9%","±0.1"
"    $75,000 to $99,999","12.6%","±0.1","13.4%","±0.1","13.4%","±0.1","10.9%","±0.1"
"    $100,000 to $149,999","17.8%","±0.1","20.8%","±0.1","23.1%","±0.1","11.3%","±0.1"
"    $150,000 to $199,999","9.7%","±0.1","12.1%","±0.1","14.6%","±0.1","4.5%","±0.1"
"    $200,000 or more","13.7%","±0.1","17.9%","±0.1","22.7%","±0.1","5.2%","±0.1"
"Median income (dollars)","81,604","±128","101,265","±183","120,217","±200","49,848","±205"
"Mean income (dollars)","114,296","±208","135,271","±284","156,765","±301","71,542","±271"
"PERCENT ALLOCATED","","","","","","","",""
"    Household income in the past 12 months","36.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","39.1%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","31.8%","(X)"
