"Label (Grouping)","American Samoa!!Total","American Samoa!!One Race!!Total","American Samoa!!One Race!!Native Hawaiian and Other Pacific Islander!!Total","American Samoa!!One Race!!Native Hawaiian and Other Pacific Islander!!Samoan","American Samoa!!One Race!!Native Hawaiian and Other Pacific Islander!!Tongan","American Samoa!!One Race!!Native Hawaiian and Other Pacific Islander!!Other Native Hawaiian and Other Pacific Islander","American Samoa!!One Race!!Asian!!Total","American Samoa!!One Race!!Asian!!Filipino","American Samoa!!One Race!!Asian!!Other Asian","American Samoa!!One Race!!Other Races [1]","American Samoa!!Two or More Races"
"HEALTH INSURANCE COVERAGE STATUS","","","","","","","","","","",""
"    Civilian population in households","48,553","46,403","43,489","40,859","1,073","1,557","2,587","1,533","1,054","327","2,150"
"        With health insurance coverage","19,325","18,220","17,367","16,281","432","654","642","411","231","211","1,105"
"            With private health insurance coverage only","3,305","3,078","2,825","2,694","21","110","191","92","99","62","227"
"            With public health insurance coverage only","13,931","13,227","12,732","11,861","401","470","395","286","109","100","704"
"            With both private and public health insurance coverage","2,089","1,915","1,810","1,726","10","74","56","33","23","49","174"
"        No health insurance coverage","29,228","28,183","26,122","24,578","641","903","1,945","1,122","823","116","1,045"
"    Male civilian population in households","24,215","23,127","21,591","20,283","513","795","1,328","740","588","208","1,088"
"        With health insurance coverage","9,603","9,048","8,571","8,012","219","340","340","215","125","137","555"
"            With private health insurance coverage only","1,685","1,569","1,415","1,337","12","66","113","58","55","41","116"
"            With public health insurance coverage only","6,841","6,480","6,216","5,777","201","238","199","140","59","65","361"
"            With both private and public health insurance coverage","1,077","999","940","898","6","36","28","17","11","31","78"
"        No health insurance coverage","14,612","14,079","13,020","12,271","294","455","988","525","463","71","533"
"    Female civilian population in households","24,338","23,276","21,898","20,576","560","762","1,259","793","466","119","1,062"
"        With health insurance coverage","9,722","9,172","8,796","8,269","213","314","302","196","106","74","550"
"            With private health insurance coverage only","1,620","1,509","1,410","1,357","9","44","78","34","44","21","111"
"            With public health insurance coverage only","7,090","6,747","6,516","6,084","200","232","196","146","50","35","343"
"            With both private and public health insurance coverage","1,012","916","870","828","4","38","28","16","12","18","96"
"        No health insurance coverage","14,616","14,104","13,102","12,307","347","448","957","597","360","45","512"
"DISABILITY STATUS","","","","","","","","","","",""
"    Civilian population in households","48,553","46,403","43,489","40,859","1,073","1,557","2,587","1,533","1,054","327","2,150"
"        Population under 18 years in households","18,212","17,255","16,697","15,618","394","685","524","325","199","34","957"
"            With a disability","294","277","264","249","N","14","11","9","N","N","17"
"            No disability","17,918","16,978","16,433","15,369","393","671","513","316","197","32","940"
"        Males under 18 years in households","9,280","8,796","8,552","7,979","193","380","227","143","84","17","484"
"            With a disability","168","156","152","142","N","10","N","N","N","N","12"
"            No disability","9,112","8,640","8,400","7,837","193","370","225","141","84","15","472"
"        Females under 18 years in households","8,932","8,459","8,145","7,639","201","305","297","182","115","17","473"
"            With a disability","126","121","112","107","N","4","9","7","N","N","5"
"            No disability","8,806","8,338","8,033","7,532","200","301","288","175","113","17","468"
"        Population 18 to 64 years in households","27,228","26,184","24,023","22,588","627","808","1,943","1,135","808","218","1,044"
"            With a disability","2,714","2,557","2,422","2,281","42","99","106","82","24","29","157"
"                Percent employed","37.7%","37.0%","35.4%","34.9%","31.0%","50.5%","67.0%","73.2%","45.8%","62.1%","47.8%"
"            No disability","24,514","23,627","21,601","20,307","585","709","1,837","1,053","784","189","887"
"                Percent employed","57.8%","57.6%","55.5%","55.4%","48.2%","62.9%","81.5%","82.6%","80.1%","68.3%","63.0%"
"        Males 18 to 64 years in households","13,468","12,945","11,779","11,098","296","385","1,036","566","470","130","523"
"            With a disability","1,405","1,316","1,250","1,179","22","49","49","36","13","17","89"
"                Percent employed","39.6%","38.9%","37.5%","37.0%","36.4%","51.0%","61.2%","72.2%","30.8%","76.5%","49.4%"
"            No disability","12,063","11,629","10,529","9,919","274","336","987","530","457","113","434"
"                Percent employed","64.3%","64.3%","62.1%","61.8%","63.1%","71.1%","86.0%","85.5%","86.7%","77.9%","65.0%"
"        Females 18 to 64 years in households","13,760","13,239","12,244","11,490","331","423","907","569","338","88","521"
"            With a disability","1,309","1,241","1,172","1,102","20","50","57","46","11","12","68"
"                Percent employed","35.6%","35.1%","33.2%","32.6%","25.0%","50.0%","71.9%","73.9%","63.6%","41.7%","45.6%"
"            No disability","12,451","11,998","11,072","10,388","311","373","850","523","327","76","453"
"                Percent employed","51.5%","51.1%","49.2%","49.3%","35.0%","55.5%","76.4%","79.7%","70.9%","53.9%","61.1%"
"        Population 65 years and over in households","3,113","2,964","2,769","2,653","52","64","120","73","47","75","149"
"            With a disability","1,368","1,295","1,242","1,182","23","37","32","17","15","21","73"
"            No disability","1,745","1,669","1,527","1,471","29","27","88","56","32","54","76"
"        Males 65 years and over in households","1,467","1,386","1,260","1,206","24","30","65","31","34","61","81"
"            With a disability","647","610","569","542","9","18","21","9","12","20","37"
"            No disability","820","776","691","664","15","12","44","22","22","41","44"
"        Females 65 years and over in households","1,646","1,578","1,509","1,447","28","34","55","42","13","14","68"
"            With a disability","721","685","673","640","14","19","11","8","N","N","36"
"            No disability","925","893","836","807","14","15","44","34","10","13","32"
