"Label (Grouping)","United States!!Total population!!Estimate","United States!!Total population!!Margin of Error"
"TOTAL NUMBER OF RACES REPORTED","",""
"    Total population","340,110,990","*****"
"        One race","86.8%","±0.1"
"        Two races","12.4%","±0.1"
"        Three races","0.8%","±0.1"
"        Four or more races","0.1%","±0.1"
"SEX AND AGE","",""
"    Total population","340,110,990","*****"
"        Male","49.5%","±0.1"
"        Female","50.5%","±0.1"
"        Under 5 years","5.4%","±0.1"
"        5 to 17 years","16.0%","±0.1"
"        18 to 24 years","9.2%","±0.1"
"        25 to 34 years","13.6%","±0.1"
"        35 to 44 years","13.5%","±0.1"
"        45 to 54 years","12.0%","±0.1"
"        55 to 64 years","12.3%","±0.1"
"        65 to 74 years","10.5%","±0.1"
"        75 years and over","7.5%","±0.1"
"        Median age (years)","39.2","±0.1"
"        18 years and over","78.6%","±0.1"
"        21 years and over","74.6%","±0.1"
"        62 years and over","21.8%","±0.1"
"        65 years and over","18.0%","±0.1"
"        Under 18 years","72,929,312","±31,522"
"            Male","51.2%","±0.1"
"            Female","48.8%","±0.1"
"        18 years and over","267,181,678","±31,516"
"            Male","49.0%","±0.1"
"            Female","51.0%","±0.1"
"        18 to 34 years","77,469,364","±36,307"
"            Male","50.8%","±0.1"
"            Female","49.2%","±0.1"
"        35 to 64 years","128,467,031","±42,318"
"            Male","49.7%","±0.1"
"            Female","50.3%","±0.1"
"        65 years and over","61,245,283","±24,867"
"            Male","45.2%","±0.1"
"            Female","54.8%","±0.1"
"RELATIONSHIP","",""
"    Population in households","331,722,429","*****"
"        Householder or spouse","58.7%","±0.1"
"        Unmarried partner","2.9%","±0.1"
"        Child","28.4%","±0.1"
"        Other relatives","7.0%","±0.1"
"        Other nonrelatives","3.0%","±0.1"
"HOUSEHOLDS BY TYPE","",""
"    Households","132,737,146","±140,273"
"        Family households","64.0%","±0.1"
"            With own children of the householder under 18 years","25.4%","±0.1"
"        Married-couple family","46.7%","±0.1"
"            With own children of the householder under 18 years","17.3%","±0.1"
"        Female householder, no spouse present, family","12.1%","±0.1"
"            With own children of the householder under 18 years","5.8%","±0.1"
"        Nonfamily households","36.0%","±0.1"
"            Male householder","16.9%","±0.1"
"                Living alone","13.1%","±0.1"
"                Not living alone","3.8%","±0.1"
"            Female householder","19.1%","±0.1"
"                Living alone","15.8%","±0.1"
"                Not living alone","3.3%","±0.1"
"        Average household size","2.50","±0.01"
"        Average family size","3.11","±0.01"
"MARITAL STATUS","",""
"    Population 15 years and over","280,592,838","±40,130"
"        Now married, except separated","47.9%","±0.1"
"        Widowed","5.4%","±0.1"
"        Divorced","10.3%","±0.1"
"        Separated","1.6%","±0.1"
"        Never married","34.8%","±0.1"
"    Male 15 years and over","137,823,205","±33,187"
"        Now married, except separated","49.6%","±0.1"
"        Widowed","2.6%","±0.1"
"        Divorced","8.8%","±0.1"
"        Separated","1.4%","±0.1"
"        Never married","37.6%","±0.1"
"    Female 15 years and over","142,769,633","±29,790"
"        Now married, except separated","46.2%","±0.1"
"        Widowed","8.2%","±0.1"
"        Divorced","11.7%","±0.1"
"        Separated","1.8%","±0.1"
"        Never married","32.1%","±0.1"
"SCHOOL ENROLLMENT","",""
"    Population 3 years and over enrolled in school","80,972,743","±113,618"
"        Nursery school, preschool","5.8%","±0.1"
"        Kindergarten","5.0%","±0.1"
"        Elementary school (grades 1-8)","40.4%","±0.1"
"        High school (grades 9-12)","21.9%","±0.1"
"        College or graduate school","26.9%","±0.1"
"        Male 3 years and over enrolled in school","40,072,583","±90,401"
"            Percent enrolled in kindergarten to grade 12","69.9%","±0.2"
"            Percent enrolled in college or graduate school","24.0%","±0.1"
"        Female 3 years and over enrolled in school","40,900,160","±68,446"
"            Percent enrolled in kindergarten to grade 12","64.6%","±0.1"
"            Percent enrolled in college or graduate school","29.8%","±0.1"
"EDUCATIONAL ATTAINMENT","",""
"    Population 25 years and over","235,910,719","±69,861"
"        Less than high school diploma","10.1%","±0.1"
"        High school graduate (includes equivalency)","25.7%","±0.1"
"        Some college or associate's degree","27.3%","±0.1"
"        Bachelor's degree","22.1%","±0.1"
"        Graduate or professional degree","14.7%","±0.1"
"        High school graduate or higher","89.9%","±0.1"
"            Male, high school graduate or higher","89.1%","±0.1"
"            Female, high school graduate or higher","90.7%","±0.1"
"        Bachelor's degree or higher","36.8%","±0.1"
"            Male, bachelor's degree or higher","35.4%","±0.1"
"            Female, bachelor's degree or higher","38.3%","±0.1"
"FERTILITY","",""
"    Women 15 to 50 years","79,622,525","±38,515"
"        Women 15 to 50 years who had a birth in the past 12 months","3,971,434","±36,997"
"            Unmarried women 15 to 50 years who had a birth in the past 12 months","1,195,958","±24,077"
"                As a percent of all women with a birth in the past 12 months","30.1%","±0.5"
"RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS","",""
"    Population 30 years and over","213,586,768","±53,946"
"        Grandparents living with grandchild(ren)","3.1%","±0.1"
"            Grandparents responsible for grandchildren as a percentage of living with grandchildren","30.7%","±0.4"
"VETERAN STATUS","",""
"    Civilian population 18 years and over","265,909,569","±36,676"
"        Civilian veteran","5.9%","±0.1"
"DISABILITY STATUS","",""
"    Total civilian noninstitutionalized population","335,190,522","±20,943"
"        With a disability","13.7%","±0.1"
"    Civilian noninstitutionalized population under 18 years","72,846,879","±31,474"
"        With a disability","5.2%","±0.1"
"    Civilian noninstitutionalized population 18 to 64 years","202,531,317","±32,720"
"        With a disability","11.2%","±0.1"
"    Civilian noninstitutionalized population 65 years and older","59,812,326","±25,206"
"        With a disability","32.5%","±0.1"
"RESIDENCE 1 YEAR AGO","",""
"    Population 1 year and over","336,636,468","±32,733"
"        Same house","88.2%","±0.1"
"        Different house in the U.S.","11.0%","±0.1"
"            Same county","5.9%","±0.1"
"            Different county","5.1%","±0.1"
"                Same state","3.0%","±0.1"
"                Different state","2.1%","±0.1"
"        Abroad","0.8%","±0.1"
"PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY","",""
"    Native","289,876,132","±162,660"
"        Male","49.6%","±0.1"
"        Female","50.4%","±0.1"
"    Foreign-born","50,234,858","±162,664"
"        Male","49.0%","±0.1"
"        Female","51.0%","±0.1"
"        Foreign-born; naturalized U.S. citizen","25,837,975","±113,967"
"            Male","46.3%","±0.2"
"            Female","53.7%","±0.2"
"        Foreign-born; not a U.S. citizen","24,396,883","±160,731"
"            Male","51.8%","±0.2"
"            Female","48.2%","±0.2"
"    Population born outside the United States","56,121,889","±156,031"
"        Entered 2010 or later","37.5%","±0.2"
"        Entered 2000 to 2009","20.5%","±0.1"
"        Entered before 2000","42.0%","±0.2"
"WORLD REGION OF BIRTH OF FOREIGN-BORN","",""
"    Foreign-born population excluding population born at sea","50,234,841","±162,666"
"        Europe","9.7%","±0.1"
"        Asia","30.8%","±0.1"
"        Africa","5.9%","±0.1"
"        Oceania","0.6%","±0.1"
"        Latin America","51.4%","±0.2"
"        Northern America","1.7%","±0.1"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","",""
"    Population 5 years and over","321,745,943","±18,702"
"        English only","77.0%","±0.1"
"        Language other than English","23.0%","±0.1"
"            Speak English less than ""very well""","9.0%","±0.1"
"EMPLOYMENT STATUS","",""
"    Population 16 years and over","276,249,478","±52,420"
"        In labor force","64.0%","±0.1"
"            Civilian labor force","63.5%","±0.1"
"                Employed","60.6%","±0.1"
"                Unemployed","2.9%","±0.1"
"                    Unemployment Rate","4.6%","±0.1"
"            Armed Forces","0.5%","±0.1"
"        Not in labor force","36.0%","±0.1"
"    Females 16 years and over","140,656,731","±38,622"
"        In labor force","59.7%","±0.1"
"            Civilian labor force","59.5%","±0.1"
"                Employed","56.8%","±0.1"
"                Unemployed","2.7%","±0.1"
"                    Unemployment Rate","4.5%","±0.1"
"COMMUTING TO WORK","",""
"    Workers 16 years and over","165,360,450","±170,737"
"        Car, truck, or van - drove alone","69.2%","±0.1"
"        Car, truck, or van - carpooled","9.2%","±0.1"
"        Public transportation","3.7%","±0.1"
"        Walked","2.4%","±0.1"
"        Other means","2.1%","±0.1"
"        Worked from home","13.3%","±0.1"
"        Mean travel time to work (minutes)","27.2","±0.1"
"OCCUPATION","",""
"    Civilian employed population 16 years and over","167,292,666","±159,791"
"        Management, business, science, and arts occupations","43.5%","±0.1"
"        Service occupations","16.5%","±0.1"
"        Sales and office occupations","19.1%","±0.1"
"        Natural resources, construction, and maintenance occupations","8.3%","±0.1"
"        Production, transportation, and material moving occupations","12.6%","±0.1"
"    Male civilian employed population 16 years and over","87,340,386","±96,043"
"        Management, business, science, and arts occupations","39.2%","±0.1"
"        Service occupations","13.7%","±0.1"
"        Sales and office occupations","14.1%","±0.1"
"        Natural resources, construction, and maintenance occupations","15.0%","±0.1"
"        Production, transportation, and material moving occupations","18.1%","±0.1"
