"Label (Grouping)","United States!!Households!!Estimate","United States!!Households!!Margin of Error","United States!!Families!!Estimate","United States!!Families!!Margin of Error","United States!!Married-couple families!!Estimate","United States!!Married-couple families!!Margin of Error","United States!!Nonfamily households!!Estimate","United States!!Nonfamily households!!Margin of Error"
"Total","129,227,496","±209,365","82,990,528","±184,702","60,637,388","±248,654","46,236,968","±51,065"
"    Less than $10,000","5.0%","±0.1","3.1%","±0.1","1.3%","±0.1","9.2%","±0.1"
"    $10,000 to $14,999","3.4%","±0.1","1.7%","±0.1","0.8%","±0.1","6.8%","±0.1"
"    $15,000 to $24,999","6.3%","±0.1","3.9%","±0.1","2.2%","±0.1","11.2%","±0.1"
"    $25,000 to $34,999","6.6%","±0.1","4.9%","±0.1","3.2%","±0.1","10.3%","±0.1"
"    $35,000 to $49,999","10.1%","±0.1","8.5%","±0.1","6.4%","±0.1","13.6%","±0.1"
"    $50,000 to $74,999","15.5%","±0.1","14.7%","±0.1","13.0%","±0.1","17.3%","±0.1"
"    $75,000 to $99,999","12.6%","±0.1","13.4%","±0.1","13.4%","±0.1","10.9%","±0.1"
"    $100,000 to $149,999","17.5%","±0.1","20.5%","±0.1","23.0%","±0.1","11.1%","±0.1"
"    $150,000 to $199,999","9.6%","±0.1","12.0%","±0.1","14.5%","±0.1","4.5%","±0.1"
"    $200,000 or more","13.4%","±0.1","17.4%","±0.1","22.1%","±0.1","5.1%","±0.1"
"Median income (dollars)","80,734","±166","99,999","±277","118,916","±262","48,618","±73"
"Mean income (dollars)","113,530","±206","134,109","±309","155,643","±282","71,134","±118"
"PERCENT ALLOCATED","","","","","","","",""
"    Household income in the past 12 months","37.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","39.6%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","32.8%","(X)"
