"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Percent Male!!Estimate","United States!!Percent Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","United States!!Percent Female!!Estimate","United States!!Percent Female!!Margin of Error"
"Total population","334,922,499","*****","(X)","(X)","165,808,018","±7,054","(X)","(X)","169,114,481","±7,067","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","18,779,951","±4,189","5.6%","±0.1","9,601,376","±4,166","5.8%","±0.1","9,178,575","±3,885","5.4%","±0.1"
"        5 to 9 years","20,081,975","±26,026","6.0%","±0.1","10,286,448","±19,025","6.2%","±0.1","9,795,527","±18,220","5.8%","±0.1"
"        10 to 14 years","21,463,610","±27,130","6.4%","±0.1","10,987,385","±19,516","6.6%","±0.1","10,476,225","±19,151","6.2%","±0.1"
"        15 to 19 years","22,009,047","±8,018","6.6%","±0.1","11,258,172","±6,276","6.8%","±0.1","10,750,875","±7,385","6.4%","±0.1"
"        20 to 24 years","21,780,613","±9,723","6.5%","±0.1","11,118,305","±7,022","6.7%","±0.1","10,662,308","±6,911","6.3%","±0.1"
"        25 to 29 years","22,386,963","±7,321","6.7%","±0.1","11,360,103","±5,977","6.9%","±0.1","11,026,860","±4,646","6.5%","±0.1"
"        30 to 34 years","23,419,577","±7,111","7.0%","±0.1","11,829,461","±4,839","7.1%","±0.1","11,590,116","±4,831","6.9%","±0.1"
"        35 to 39 years","22,541,865","±34,656","6.7%","±0.1","11,367,389","±19,477","6.9%","±0.1","11,174,476","±23,632","6.6%","±0.1"
"        40 to 44 years","21,695,427","±35,705","6.5%","±0.1","10,914,858","±20,867","6.6%","±0.1","10,780,569","±22,791","6.4%","±0.1"
"        45 to 49 years","19,998,651","±6,328","6.0%","±0.1","9,980,849","±4,449","6.0%","±0.1","10,017,802","±4,334","5.9%","±0.1"
"        50 to 54 years","20,745,148","±5,706","6.2%","±0.1","10,342,208","±4,509","6.2%","±0.1","10,402,940","±3,799","6.2%","±0.1"
"        55 to 59 years","20,929,873","±29,934","6.2%","±0.1","10,313,326","±19,579","6.2%","±0.1","10,616,547","±18,559","6.3%","±0.1"
"        60 to 64 years","21,456,171","±29,157","6.4%","±0.1","10,442,348","±19,307","6.3%","±0.1","11,013,823","±17,888","6.5%","±0.1"
"        65 to 69 years","18,712,785","±26,167","5.6%","±0.1","8,886,932","±16,242","5.4%","±0.1","9,825,853","±17,280","5.8%","±0.1"
"        70 to 74 years","15,380,122","±26,431","4.6%","±0.1","7,171,219","±15,981","4.3%","±0.1","8,208,903","±18,138","4.9%","±0.1"
