"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"SEX AND AGE","","","",""
"    Total population","334,922,499","*****","334,922,499","(X)"
"        Male","165,808,018","±7,054","49.5%","±0.1"
"        Female","169,114,481","±7,067","50.5%","±0.1"
"        Sex ratio (males per 100 females)","98.0","±0.1","(X)","(X)"
"        Under 5 years","18,779,951","±4,189","5.6%","±0.1"
"        5 to 9 years","20,081,975","±26,026","6.0%","±0.1"
"        10 to 14 years","21,463,610","±27,130","6.4%","±0.1"
"        15 to 19 years","22,009,047","±8,018","6.6%","±0.1"
"        20 to 24 years","21,780,613","±9,723","6.5%","±0.1"
"        25 to 34 years","45,806,540","±8,828","13.7%","±0.1"
"        35 to 44 years","44,237,292","±9,494","13.2%","±0.1"
"        45 to 54 years","40,743,799","±7,765","12.2%","±0.1"
"        55 to 59 years","20,929,873","±29,934","6.2%","±0.1"
"        60 to 64 years","21,456,171","±29,157","6.4%","±0.1"
"        65 to 74 years","34,092,907","±4,654","10.2%","±0.1"
"        75 to 84 years","17,108,680","±19,725","5.1%","±0.1"
"        85 years and over","6,432,041","±19,100","1.9%","±0.1"
"        Median age (years)","38.9","±0.1","(X)","(X)"
"        Under 18 years","73,517,834","±4,282","22.0%","±0.1"
"        16 years and over","270,181,636","±17,834","80.7%","±0.1"
"        18 years and over","261,404,665","±4,086","78.0%","±0.1"
"        21 years and over","248,181,817","±22,273","74.1%","±0.1"
"        62 years and over","70,300,155","±25,157","21.0%","±0.1"
"        65 years and over","57,633,628","±4,736","17.2%","±0.1"
"        18 years and over","261,404,665","±4,086","261,404,665","(X)"
"            Male","128,176,146","±4,449","49.0%","±0.1"
"            Female","133,228,519","±4,207","51.0%","±0.1"
"            Sex ratio (males per 100 females)","96.2","±0.1","(X)","(X)"
"        65 years and over","57,633,628","±4,736","57,633,628","(X)"
"            Male","26,005,790","±3,153","45.1%","±0.1"
"            Female","31,627,838","±3,591","54.9%","±0.1"
"            Sex ratio (males per 100 females)","82.2","±0.1","(X)","(X)"
"RACE","","","",""
"    Total population","334,922,499","*****","334,922,499","(X)"
"        One race","292,611,062","±80,079","87.4%","±0.1"
"        Two or More Races","42,311,437","±80,151","12.6%","±0.1"
"        One race","292,611,062","±80,079","87.4%","±0.1"
"            White","204,142,876","±113,369","61.0%","±0.1"
"                Egyptian","319,267","±8,244","0.1%","±0.1"
"                English","25,907,065","±189,685","7.7%","±0.1"
"                German","17,178,901","±42,867","5.1%","±0.1"
"                Irish","11,852,441","±32,343","3.5%","±0.1"
"                Italian","6,913,142","±28,240","2.1%","±0.1"
"                Lebanese","354,467","±7,138","0.1%","±0.1"
"                Other White","141,617,593","±121,572","42.3%","±0.1"
"            Black or African American","40,919,547","±44,560","12.2%","±0.1"
"                African American","21,302,679","±65,733","6.4%","±0.1"
"                Ethiopian","351,623","±10,339","0.1%","±0.1"
"                Haitian","1,067,531","±19,861","0.3%","±0.1"
"                Jamaican","896,255","±11,940","0.3%","±0.1"
"                Nigerian","594,905","±14,466","0.2%","±0.1"
"                Somali","210,516","±9,209","0.1%","±0.1"
"                Other Black or African American","16,496,038","±60,108","4.9%","±0.1"
"            American Indian and Alaska Native","3,095,754","±19,785","0.9%","±0.1"
"                Aztec","450,137","±11,983","0.1%","±0.1"
"                Blackfeet Tribe of the Blackfeet Indian Reservation of Montana","26,744","±1,348","0.0%","±0.1"
"                Maya","231,056","±7,532","0.1%","±0.1"
"                Native Village of Barrow Inupiat Traditional Government","2,242","±624","0.0%","±0.1"
"                Navajo Nation","316,578","±5,011","0.1%","±0.1"
"                Nome Eskimo Community","1,606","±295","0.0%","±0.1"
"                Other American Indian and Alaska Native","2,067,391","±14,823","0.6%","±0.1"
"            Asian","19,937,283","±20,448","6.0%","±0.1"
"                Asian Indian","4,625,449","±27,232","1.4%","±0.1"
"                Chinese","4,553,861","±26,489","1.4%","±0.1"
"                Filipino","3,039,204","±22,047","0.9%","±0.1"
"                Japanese","743,365","±10,484","0.2%","±0.1"
"                Korean","1,495,031","±14,535","0.4%","±0.1"
"                Vietnamese","1,918,848","±19,217","0.6%","±0.1"
"                Other Asian","3,561,525","±27,399","1.1%","±0.1"
"            Native Hawaiian and Other Pacific Islander","631,517","±6,330","0.2%","±0.1"
"                Chamorro","69,723","±3,612","0.0%","±0.1"
"                Native Hawaiian","182,906","±4,676","0.1%","±0.1"
"                Samoan","115,856","±4,307","0.0%","±0.1"
"                Other Native Hawaiian and Other Pacific Islander","263,032","±7,083","0.1%","±0.1"
"            Some Other Race","23,884,085","±78,862","7.1%","±0.1"
"        Two or More Races","42,311,437","±80,151","12.6%","±0.1"
"            White and Black or African American","4,002,366","±38,599","1.2%","±0.1"
"            White and American Indian and Alaska Native","2,632,129","±16,206","0.8%","±0.1"
"            White and Asian","3,037,294","±27,302","0.9%","±0.1"
