"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Percent Male!!Estimate","United States!!Percent Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","United States!!Percent Female!!Estimate","United States!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","30,597,362","±8,024","(X)","(X)","15,619,814","±5,707","(X)","(X)","14,977,548","±5,483","(X)","(X)"
"        Less than high school graduate","3,531,637","±20,471","11.5%","±0.1","2,063,166","±14,431","13.2%","±0.1","1,468,471","±11,630","9.8%","±0.1"
"        High school graduate (includes equivalency)","10,851,601","±29,228","35.5%","±0.1","6,068,042","±22,020","38.8%","±0.1","4,783,559","±18,519","31.9%","±0.1"
"        Some college or associate's degree","12,182,697","±27,556","39.8%","±0.1","5,793,588","±18,902","37.1%","±0.1","6,389,109","±19,137","42.7%","±0.1"
"        Bachelor's degree or higher","4,031,427","±27,676","13.2%","±0.1","1,695,018","±13,626","10.9%","±0.1","2,336,409","±17,971","15.6%","±0.1"
"    Population 25 years and over","230,807,303","±9,706","(X)","(X)","112,556,332","±6,731","(X)","(X)","118,250,971","±6,995","(X)","(X)"
"        Less than 9th grade","10,803,193","±71,471","4.7%","±0.1","5,502,779","±36,825","4.9%","±0.1","5,300,414","±38,601","4.5%","±0.1"
"        9th to 12th grade, no diploma","13,189,217","±85,231","5.7%","±0.1","7,098,087","±44,204","6.3%","±0.1","6,091,130","±46,413","5.2%","±0.1"
"        High school graduate (includes equivalency)","60,094,716","±257,399","26.0%","±0.1","30,924,183","±139,326","27.5%","±0.1","29,170,533","±123,568","24.7%","±0.1"
"        Some college, no degree","44,034,048","±51,336","19.1%","±0.1","21,377,591","±33,084","19.0%","±0.1","22,656,457","±36,140","19.2%","±0.1"
"        Associate's degree","20,322,913","±45,811","8.8%","±0.1","8,889,968","±29,112","7.9%","±0.1","11,432,945","±27,351","9.7%","±0.1"
"        Bachelor's degree","49,868,171","±191,354","21.6%","±0.1","23,712,275","±100,872","21.1%","±0.1","26,155,896","±96,599","22.1%","±0.1"
"        Graduate or professional degree","32,495,045","±215,440","14.1%","±0.1","15,051,449","±102,179","13.4%","±0.1","17,443,596","±117,085","14.8%","±0.1"
"        High school graduate or higher","206,814,893","±157,416","89.6%","±0.1","99,955,466","±77,456","88.8%","±0.1","106,859,427","±83,682","90.4%","±0.1"
"        Bachelor's degree or higher","82,363,216","±400,530","35.7%","±0.2","38,763,724","±196,661","34.4%","±0.2","43,599,492","±207,291","36.9%","±0.2"
"    Population 25 to 34 years","45,806,540","±8,828","(X)","(X)","23,189,564","±7,381","(X)","(X)","22,616,976","±5,822","(X)","(X)"
