"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Insured!!Estimate","United States!!Insured!!Margin of Error","United States!!Percent Insured!!Estimate","United States!!Percent Insured!!Margin of Error","United States!!Uninsured!!Estimate","United States!!Uninsured!!Margin of Error","United States!!Percent Uninsured!!Estimate","United States!!Percent Uninsured!!Margin of Error"
"Civilian noninstitutionalized population","329,980,753","±9,931","302,245,842","±242,106","91.6%","±0.1","27,734,911","±243,611","8.4%","±0.1"
"    AGE","","","","","","","","","",""
"        Under 6 years","22,662,155","±18,223","21,619,391","±21,510","95.4%","±0.1","1,042,764","±11,402","4.6%","±0.1"
"        6 to 18 years","55,283,157","±21,568","52,064,623","±32,193","94.2%","±0.1","3,218,534","±29,181","5.8%","±0.1"
"        19 to 25 years","29,735,623","±27,010","25,623,232","±35,481","86.2%","±0.1","4,112,391","±36,193","13.8%","±0.1"
"        26 to 34 years","40,422,212","±22,228","34,522,134","±62,536","85.4%","±0.1","5,900,078","±54,857","14.6%","±0.1"
"        35 to 44 years","43,368,167","±10,109","37,969,527","±62,785","87.6%","±0.1","5,398,640","±62,254","12.4%","±0.1"
"        45 to 54 years","40,275,165","±8,917","36,010,872","±45,431","89.4%","±0.1","4,264,293","±43,770","10.6%","±0.1"
"        55 to 64 years","41,994,575","±5,401","38,671,942","±33,680","92.1%","±0.1","3,322,633","±32,138","7.9%","±0.1"
"        65 to 74 years","33,677,758","±7,256","33,322,273","±10,613","98.9%","±0.1","355,485","±7,270","1.1%","±0.1"
"        75 years and older","22,561,941","±7,464","22,441,848","±8,138","99.5%","±0.1","120,093","±3,096","0.5%","±0.1"
"        Under 19 years","77,945,312","±15,594","73,684,014","±36,853","94.5%","±0.1","4,261,298","±36,273","5.5%","±0.1"
"        19 to 64 years","195,795,742","±18,472","172,797,707","±209,067","88.3%","±0.1","22,998,035","±209,422","11.7%","±0.1"
"        65 years and older","56,239,699","±6,537","55,764,121","±11,509","99.2%","±0.1","475,578","±8,808","0.8%","±0.1"
"    SEX","","","","","","","","","",""
"        Male","162,271,028","±11,683","146,919,925","±142,324","90.5%","±0.1","15,351,103","±143,807","9.5%","±0.1"
"        Female","167,709,725","±8,871","155,325,917","±104,668","92.6%","±0.1","12,383,808","±103,626","7.4%","±0.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","",""
"        White alone","201,280,420","±112,636","189,173,489","±212,342","94.0%","±0.1","12,106,931","±108,081","6.0%","±0.1"
"        Black or African American alone","39,753,373","±44,685","36,068,143","±37,528","90.7%","±0.1","3,685,230","±30,320","9.3%","±0.1"
"        American Indian and Alaska Native alone","3,028,580","±19,571","2,443,123","±17,891","80.7%","±0.3","585,457","±8,699","19.3%","±0.3"
"        Asian alone","19,828,700","±20,190","18,711,276","±18,424","94.4%","±0.1","1,117,424","±15,485","5.6%","±0.1"
"        Native Hawaiian and Other Pacific Islander alone","615,978","±6,431","545,215","±5,884","88.5%","±0.5","70,763","±3,265","11.5%","±0.5"
"        Some other race alone","23,657,346","±79,134","19,049,956","±53,247","80.5%","±0.1","4,607,390","±43,755","19.5%","±0.1"
"        Two or more races","41,816,356","±79,373","36,254,640","±83,693","86.7%","±0.2","5,561,716","±75,885","13.3%","±0.2"
"        Hispanic or Latino (of any race)","64,017,493","±6,854","52,963,382","±102,217","82.7%","±0.2","11,054,111","±103,826","17.3%","±0.2"
"        White alone, not Hispanic or Latino","189,529,460","±31,811","179,060,241","±126,328","94.5%","±0.1","10,469,219","±104,246","5.5%","±0.1"
"    LIVING ARRANGEMENTS","","","","","","","","","",""
"        In family households","267,783,264","±95,309","245,605,081","±262,259","91.7%","±0.1","22,178,183","±183,539","8.3%","±0.1"
"            In married couple families","194,044,480","±556,099","181,014,785","±631,221","93.3%","±0.1","13,029,695","±92,140","6.7%","±0.1"
"            In other families","73,738,784","±480,555","64,590,296","±383,027","87.6%","±0.1","9,148,488","±103,234","12.4%","±0.1"
"                Male reference person, no spouse present","21,197,034","±199,345","17,921,656","±154,019","84.5%","±0.1","3,275,378","±52,411","15.5%","±0.1"
"                Female reference person, no spouse present","52,541,750","±300,670","46,668,640","±247,941","88.8%","±0.1","5,873,110","±59,629","11.2%","±0.1"
"        In non-family households and other living arrangements","62,197,489","±96,703","56,640,761","±55,387","91.1%","±0.1","5,556,728","±67,213","8.9%","±0.1"
"    NATIVITY AND U.S. CITIZENSHIP STATUS","","","","","","","","","",""
