"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Below poverty level!!Estimate","United States!!Below poverty level!!Margin of Error","United States!!Percent below poverty level!!Estimate","United States!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","327,079,188","±15,021","40,735,661","±275,861","12.5%","±0.1"
"    AGE","","","","","",""
"        Under 18 years","72,384,401","±14,702","11,678,577","±135,548","16.1%","±0.2"
"            Under 5 years","18,441,458","±7,724","3,193,459","±43,470","17.3%","±0.2"
"            5 to 17 years","53,942,943","±11,790","8,485,118","±96,086","15.7%","±0.2"
"            Related children of householder under 18 years","72,087,171","±16,670","11,405,606","±134,126","15.8%","±0.2"
"        18 to 64 years","198,455,150","±7,118","22,989,925","±137,030","11.6%","±0.1"
"            18 to 34 years","72,467,156","±10,202","10,308,805","±54,886","14.2%","±0.1"
"            35 to 64 years","125,987,994","±10,170","12,681,120","±89,582","10.1%","±0.1"
"        60 years and over","77,498,371","±29,580","8,500,931","±29,629","11.0%","±0.1"
"        65 years and over","56,239,637","±6,544","6,067,159","±20,679","10.8%","±0.1"
"    SEX","","","","","",""
"        Male","161,297,438","±14,134","18,182,378","±132,107","11.3%","±0.1"
"        Female","165,781,750","±14,672","22,553,283","±148,785","13.6%","±0.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        White alone","199,559,302","±118,496","19,391,666","±125,346","9.7%","±0.1"
"        Black or African American alone","39,352,880","±45,545","8,332,006","±63,991","21.2%","±0.2"
"        American Indian and Alaska Native alone","2,999,267","±19,574","631,386","±9,472","21.1%","±0.3"
"        Asian alone","19,552,274","±22,036","1,944,976","±22,506","9.9%","±0.1"
"        Native Hawaiian and Other Pacific Islander alone","612,776","±6,293","103,088","±4,151","16.8%","±0.7"
"        Some other race alone","23,485,960","±77,592","4,272,938","±41,022","18.2%","±0.1"
"        Two or more races","41,516,729","±79,573","6,059,601","±74,588","14.6%","±0.2"
"        Hispanic or Latino origin (of any race)","63,582,016","±9,907","10,641,656","±85,372","16.7%","±0.1"
"        White alone, not Hispanic or Latino","187,914,213","±36,987","17,464,424","±124,200","9.3%","±0.1"
"    EDUCATIONAL ATTAINMENT","","","","","",""
"        Population 25 years and over","227,329,704","±10,303","23,950,759","±121,837","10.5%","±0.1"
"            Less than high school graduate","23,160,673","±149,573","5,595,720","±46,591","24.2%","±0.1"
"            High school graduate (includes equivalency)","58,566,463","±256,440","8,405,454","±58,309","14.4%","±0.1"
"            Some college, associate's degree","63,605,853","±58,200","6,238,744","±31,085","9.8%","±0.1"
"            Bachelor's degree or higher","81,996,715","±400,654","3,710,841","±16,449","4.5%","±0.1"
"    EMPLOYMENT STATUS","","","","","",""
