"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","United States!!Percent","United States!!Percent Margin of Error"
"EMPLOYMENT STATUS","","","",""
"    Population 16 years and over","270,181,636","±17,834","270,181,636","(X)"
"        In labor force","171,493,285","±142,798","63.5%","±0.1"
"            Civilian labor force","170,199,520","±141,436","63.0%","±0.1"
"                Employed","161,297,155","±166,767","59.7%","±0.1"
"                Unemployed","8,902,365","±38,976","3.3%","±0.1"
"            Armed Forces","1,293,765","±10,584","0.5%","±0.1"
"        Not in labor force","98,688,351","±134,303","36.5%","±0.1"
"    Civilian labor force","170,199,520","±141,436","170,199,520","(X)"
"        Unemployment Rate","(X)","(X)","5.2%","±0.1"
"    Females 16 years and over","137,504,899","±12,439","137,504,899","(X)"
"        In labor force","81,019,786","±82,929","58.9%","±0.1"
"            Civilian labor force","80,805,281","±82,969","58.8%","±0.1"
"                Employed","76,627,797","±93,244","55.7%","±0.1"
"    Own children of the householder under 6 years","21,727,514","±24,872","21,727,514","(X)"
"        All parents in family in labor force","14,792,254","±42,792","68.1%","±0.2"
"    Own children of the householder 6 to 17 years","48,022,160","±24,311","48,022,160","(X)"
"        All parents in family in labor force","34,940,914","±58,499","72.8%","±0.1"
"COMMUTING TO WORK","","","",""
"    Workers 16 years and over","159,114,094","±175,358","159,114,094","(X)"
"        Car, truck, or van -- drove alone","109,447,738","±95,797","68.8%","±0.1"
"        Car, truck, or van -- carpooled","13,569,614","±52,496","8.5%","±0.1"
"        Public transportation","5,157,401","±21,069","3.2%","±0.1"
"        Walked","3,772,609","±17,076","2.4%","±0.1"
"        Other means","3,124,243","±17,275","2.0%","±0.1"
"        Worked from home","24,042,489","±82,855","15.1%","±0.1"
"        Mean travel time to work (minutes)","26.4","±0.1","(X)","(X)"
"OCCUPATION","","","",""
"    Civilian employed population 16 years and over","161,297,155","±166,767","161,297,155","(X)"
"        Management, business, science, and arts occupations","68,788,669","±322,434","42.6%","±0.2"
"        Service occupations","26,342,025","±87,039","16.3%","±0.1"
"        Sales and office occupations","31,709,913","±48,933","19.7%","±0.1"
"        Natural resources, construction, and maintenance occupations","13,666,008","±62,867","8.5%","±0.1"
"        Production, transportation, and material moving occupations","20,790,540","±60,130","12.9%","±0.1"
"INDUSTRY","","","",""
"    Civilian employed population 16 years and over","161,297,155","±166,767","161,297,155","(X)"
"        Agriculture, forestry, fishing and hunting, and mining","2,511,442","±17,161","1.6%","±0.1"
"        Construction","11,167,040","±57,002","6.9%","±0.1"
"        Manufacturing","15,940,000","±38,892","9.9%","±0.1"
"        Wholesale trade","3,507,744","±16,262","2.2%","±0.1"
"        Retail trade","17,456,908","±41,103","10.8%","±0.1"
"        Transportation and warehousing, and utilities","9,568,767","±29,296","5.9%","±0.1"
"        Information","3,000,790","±19,704","1.9%","±0.1"
