,,All Recipient Ages,< 1 Year,1-5 Years,6-10 Years,11-17 Years,18-34 Years,35-49 Years,50-64 Years,65 +,Unknown
To Date,,"1,068,934","10,171","18,090","10,810","27,276","139,441","282,734","418,755","161,642",15
2026,,"4,002",13,33,27,47,349,884,"1,580","1,069",0
2025,,"49,065",243,494,302,835,"4,360","10,800","19,487","12,544",0
2024,,"48,150",254,521,311,887,"4,320","10,550","19,295","12,012",0
2023,,"46,634",253,510,344,809,"4,427","10,280","18,907","11,104",0
2022,,"42,889",263,434,263,817,"4,333","9,758","17,239","9,782",0
2021,,"41,356",255,511,288,834,"4,407","9,453","16,712","8,894",2
2020,,"39,036",280,477,274,735,"3,964","8,719","15,897","8,690",0
2019,,"39,719",300,505,347,771,"4,174","8,712","16,295","8,615",0
2018,,"36,530",278,537,331,749,"3,800","8,057","15,005","7,773",0
2017,,"34,770",249,575,292,783,"3,695","7,785","14,643","6,748",0
2016,,"33,610",293,543,302,740,"3,744","7,526","14,242","6,220",0
2015,,"30,974",256,605,332,707,"3,628","7,175","12,917","5,354",0
2014,,"29,540",280,503,284,728,"3,149","6,412","12,790","5,394",0
2013,,"28,956",260,545,295,718,"3,081","6,310","12,677","5,070",0
2012,,"28,059",277,519,281,696,"3,105","6,390","12,156","4,635",0
2011,,"28,553",281,514,273,730,"3,054","6,610","12,573","4,518",0
2010,,"28,668",290,500,300,735,"3,226","6,894","12,425","4,296",2
2009,,"28,463",329,592,315,781,"3,221","6,967","12,238","4,018",2
2008,,"27,967",343,565,304,751,"3,263","6,976","12,093","3,672",0
2007,,"28,366",343,547,273,793,"3,351","7,453","12,105","3,501",0
2006,,"28,941",315,518,274,875,"3,625","7,745","12,157","3,432",0
2005,,"28,119",295,498,307,864,"3,659","7,801","11,535","3,160",0
2004,,"27,042",273,501,270,772,"3,770","7,946","10,821","2,689",0
2003,,"25,475",259,463,290,784,"3,532","7,733","10,001","2,413",0
2002,,"24,916",255,477,279,746,"3,585","7,867","9,538","2,168",1
2001,,"24,243",269,492,245,726,"3,707","7,779","9,151","1,874",0
2000,,"23,274",268,403,284,652,"3,560","7,860","8,427","1,820",0
1999,,"22,030",274,409,279,700,"3,538","7,517","7,793","1,519",1
1998,,"21,526",290,391,313,661,"3,604","7,383","7,414","1,469",1
1997,,"20,316",277,450,275,647,"3,550","7,086","6,811","1,219",1
1996,,"19,765",246,416,273,661,"3,546","7,035","6,444","1,144",0
1995,,"19,396",225,395,292,697,"3,677","6,917","6,177","1,014",2
1994,,"18,299",260,405,260,630,"3,710","6,488","5,722",822,2
1993,,"17,631",235,450,266,583,"3,805","6,103","5,441",748,0
1992,,"16,134",232,390,221,535,"3,616","5,699","4,773",667,1
1991,,"15,756",285,384,262,525,"3,713","5,564","4,466",557,0
1990,,"15,001",241,364,239,552,"3,691","5,316","4,137",461,0
1989,,"13,140",202,342,228,481,"3,468","4,701","3,426",292,0
1988,,"12,623",130,312,215,539,"3,434","4,483","3,245",265,0
