,,All Ethnicities,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic"
To Date,,"1,068,934","638,199","211,736","152,128","1,852","49,113","7,817","3,518","4,571"
2026,,"4,002","1,950",890,772,73,233,32,17,35
2025,,"49,065","24,136","10,864","9,329",872,"2,890",379,215,380
2024,,"48,150","23,642","10,992","9,102",632,"2,815",391,189,387
2023,,"46,634","23,473","10,830","8,542",77,"2,792",368,176,376
2022,,"42,889","21,755","9,642","8,017",1,"2,702",321,137,314
2021,,"41,356","21,354","9,253","7,501",1,"2,467",322,154,304
2020,,"39,036","20,987","8,418","6,681",0,"2,237",281,152,280
2019,,"39,719","21,639","8,332","6,811",0,"2,222",271,132,312
2018,,"36,530","20,135","7,541","6,084",0,"2,085",284,124,277
2017,,"34,770","19,527","7,286","5,484",0,"1,889",269,111,204
2016,,"33,610","18,799","7,061","5,447",1,"1,738",230,123,211
2015,,"30,974","17,174","6,760","4,862",0,"1,650",256,119,153
2014,,"29,540","17,313","5,946","4,272",1,"1,542",232,100,134
2013,,"28,956","17,125","5,802","4,186",0,"1,439",190,106,108
2012,,"28,059","16,725","5,586","3,978",4,"1,400",193,69,104
2011,,"28,553","16,969","5,863","3,975",8,"1,343",196,68,131
2010,,"28,668","17,116","5,953","3,859",5,"1,310",201,82,142
2009,,"28,463","17,286","5,698","3,816",2,"1,266",195,80,120
2008,,"27,967","17,012","5,474","3,812",3,"1,267",224,90,85
2007,,"28,366","17,574","5,462","3,751",0,"1,235",180,77,87
2006,,"28,941","18,061","5,587","3,698",1,"1,181",222,76,115
2005,,"28,119","17,821","5,249","3,499",0,"1,148",184,103,115
2004,,"27,042","17,244","4,924","3,414",1,"1,081",203,91,84
2003,,"25,475","16,419","4,633","3,145",2,928,191,103,54
2002,,"24,916","16,374","4,370","3,004",6,872,165,91,34
2001,,"24,243","16,111","4,268","2,782",2,820,163,91,6
2000,,"23,274","15,696","3,959","2,597",0,756,171,89,6
1999,,"22,030","14,983","3,784","2,309",1,692,184,74,3
1998,,"21,526","14,673","3,648","2,296",3,674,150,80,2
1997,,"20,316","14,054","3,464","1,976",2,617,122,81,0
1996,,"19,765","13,749","3,364","1,887",1,545,155,62,2
1995,,"19,396","13,446","3,174","2,081",2,498,147,46,2
1994,,"18,299","12,732","3,140","1,696",15,504,157,55,0
1993,,"17,631","12,619","2,821","1,601",20,434,109,27,0
1992,,"16,134","11,463","2,570","1,457",13,483,110,38,0
1991,,"15,756","11,433","2,462","1,311",22,391,101,35,1
1990,,"15,001","10,961","2,368","1,164",43,359,82,22,2
1989,,"13,140","9,539","2,136","1,002",17,325,100,20,1
1988,,"12,623","9,130","2,162",928,21,283,86,13,0
