,,All Center States,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin
To Date,,"1,068,934","16,378","23,979","5,674","124,780","16,300","8,877",942,"13,737","66,740","27,252","2,144","45,163","18,046","7,804","7,031","10,903","17,917","1,791","23,115","29,735","31,174","30,984","3,591","26,614","10,757","2,553","1,132","19,327","2,959","71,368","32,575","1,582","48,987","9,657","11,109","71,232","3,410","1,677","12,038","1,459","28,188","88,463","13,027",826,"26,549","21,100","2,249","26,039"
2026,,"4,002",42,109,21,458,64,29,6,76,280,150,5,189,45,13,15,35,61,4,54,132,123,73,19,93,45,11,0,74,8,263,147,4,214,33,41,166,17,2,76,3,97,381,57,0,111,73,5,78
2025,,"49,065",479,"1,345",233,"5,179",800,343,61,741,"3,443","1,676",116,"2,242",584,183,278,388,694,34,712,"1,631","1,250","1,134",185,"1,028",419,188,26,"1,009",65,"3,609","1,648",45,"2,472",352,416,"2,374",103,49,950,50,"1,517","4,774",882,2,"1,369",922,103,962
2024,,"48,150",476,"1,388",224,"5,261",790,322,56,743,"3,250","1,460",94,"2,365",657,219,309,374,618,31,728,"1,492","1,140","1,140",209,"1,051",410,188,19,"1,063",86,"3,626","1,544",56,"2,435",391,408,"2,288",145,47,850,70,"1,566","4,425",810,16,"1,429",900,102,879
2023,,"46,634",440,"1,377",256,"5,290",783,395,54,607,"3,302","1,268",60,"2,258",617,250,255,396,585,41,724,"1,295","1,161","1,178",213,975,363,176,27,"1,032",109,"3,580","1,539",62,"2,397",399,519,"2,157",117,56,673,51,"1,447","4,230",714,12,"1,340",877,147,830
2022,,"42,889",454,"1,285",224,"4,866",778,386,40,550,"3,064","1,223",81,"2,020",581,247,284,353,603,45,738,"1,128",995,"1,078",187,988,316,141,23,822,92,"3,396","1,404",47,"2,127",363,411,"2,079",102,57,626,63,"1,209","3,998",639,10,"1,191",784,100,691
2021,,"41,356",467,"1,214",250,"4,693",605,367,44,565,"2,795","1,243",64,"1,964",646,280,288,333,608,51,772,980,932,986,203,963,333,138,25,693,95,"3,167","1,352",45,"2,146",327,392,"1,992",116,51,584,65,"1,202","3,987",602,5,"1,129",793,115,689
2020,,"39,036",502,"1,183",198,"4,531",564,363,31,619,"2,875","1,049",60,"1,493",638,321,299,345,600,45,693,916,936,825,172,972,339,91,22,590,87,"2,489","1,351",25,"2,055",329,429,"2,201",103,50,490,61,"1,164","3,664",514,7,"1,077",730,118,820
2019,,"39,719",480,"1,299",233,"4,412",643,366,40,599,"2,748","1,077",56,"1,565",616,292,273,328,703,41,771,"1,033","1,033",905,200,"1,044",331,43,26,695,87,"2,681","1,392",41,"1,916",328,381,"2,395",125,60,440,71,"1,040","3,666",448,20,"1,146",801,88,741
2018,,"36,530",467,"1,184",172,"4,165",617,370,39,525,"2,471",983,66,"1,424",591,283,238,381,586,42,830,"1,015","1,039",813,187,891,301,47,20,560,72,"2,624","1,145",41,"1,641",316,338,"2,241",122,63,368,62,"1,026","3,231",441,11,916,781,66,718
2017,,"34,770",501,"1,100",127,"3,860",580,285,43,516,"2,184",839,63,"1,273",586,258,225,378,622,52,845,"1,018",939,881,178,912,338,64,16,582,88,"2,238","1,096",47,"1,524",340,336,"2,198",106,49,408,69,965,"3,260",436,21,839,699,28,758
2016,,"33,610",413,"1,089",161,"3,867",461,286,39,527,"2,157",922,67,"1,208",616,239,236,333,578,36,855,"1,010","1,000",894,204,800,293,63,42,600,86,"2,148","1,044",46,"1,361",325,353,"2,080",141,61,287,47,908,"3,130",385,24,701,648,36,803
2015,,"30,974",395,838,127,"3,703",443,234,37,409,"2,047",888,64,979,582,229,223,302,607,44,894,795,924,845,132,734,305,78,51,564,66,"1,930","1,016",51,"1,231",319,311,"1,994",154,46,303,52,857,"2,803",363,16,649,623,25,692
2014,,"29,540",401,711,123,"3,454",421,238,43,349,"1,803",818,75,"1,094",609,257,238,298,574,55,805,800,873,746,128,717,326,61,43,470,87,"1,826","1,005",44,"1,239",326,282,"1,803",156,62,287,47,818,"2,627",353,30,620,668,39,691
2013,,"28,956",413,754,156,"3,491",474,223,60,331,"1,721",829,56,"1,128",566,263,233,326,523,38,776,753,923,722,126,695,347,59,39,519,65,"1,671",954,38,"1,180",260,290,"1,866",138,42,280,35,796,"2,431",361,25,633,619,43,685
2012,,"28,059",372,652,161,"3,357",431,237,48,321,"1,750",803,27,"1,060",612,212,201,305,527,45,746,690,870,752,115,727,302,60,43,549,62,"1,802",955,23,"1,200",278,262,"1,643",124,66,273,49,738,"2,355",271,24,688,585,40,646
