,,All ABO,O,A,B,AB
All Organs,,"108,565","59,145","30,430","16,330","2,661"
Kidney,,"94,310","51,464","25,647","14,820","2,380"
Liver,,"8,875","4,581","3,332",812,150
Pancreas,,814,373,282,121,38
Kidney / Pancreas,,"2,357","1,201",647,428,81
Heart,,"3,974","2,362","1,059",469,84
Lung,,989,624,273,78,14
Heart / Lung,,24,14,6,3,1
Intestine,,162,68,62,23,9
VCA - abdominal wall,,1,1,0,0,0
VCA - head and neck,,2,0,1,1,0
VCA - other genitourinary organ,,2,2,0,0,0
VCA - upper limb,,2,1,1,0,0
VCA - uterus,,4,1,2,1,0
