,,All Ethnicities,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic"
All Organs,,"108,565","41,173","29,272","25,936","1,170","8,907",982,686,"1,068"
Kidney,,"94,310","32,934","27,263","23,026",903,"8,297",858,650,936
Liver,,"8,875","5,465",575,"2,063",160,449,97,12,63
Pancreas,,814,408,178,159,10,38,6,1,14
Kidney / Pancreas,,"2,357",896,703,528,36,127,35,12,29
Heart,,"3,974","2,007","1,136",571,66,108,25,13,50
Lung,,989,633,143,158,15,31,5,1,3
Heart / Lung,,24,14,6,3,0,1,0,0,0
Intestine,,162,82,25,43,3,8,0,0,2
VCA - abdominal wall,,1,1,0,0,0,0,0,0,0
VCA - head and neck,,2,1,1,0,0,0,0,0,0
VCA - other genitourinary organ,,2,0,0,1,0,1,0,0,0
VCA - upper limb,,2,1,1,0,0,0,0,0,0
VCA - uterus,,4,4,0,0,0,0,0,0,0
