,,All Types,Liver: Status 1A,Liver: Status 1B,Liver: MELD / PELD <15,Liver: MELD / PELD 15-19,Liver: MELD / PELD 20-24,Liver: MELD / PELD 25-29,Liver: MELD / PELD 30-34,Liver: MELD / PELD 35+,Liver: Status Inactive,Heart: Status 1A,Heart: Status 1B,Heart: Status 2,Heart: Adult Status 1,Heart: Adult Status 2,Heart: Adult Status 3,Heart: Adult Status 4,Heart: Adult Status 5,Heart: Adult Status 6,Heart: Status 7 (Inactive),"Lung/Heart-Lung: Less Than 12 Years, Priority 1","Lung/Heart-Lung: Less Than 12 Years, Priority 2",Lung/Heart-Lung: CAS < 20.0,Lung/Heart-Lung: CAS 20.0 to < 21.0,Lung/Heart-Lung: CAS 21.0 to < 22.0,Lung/Heart-Lung: CAS 22.0 to < 23.0,Lung/Heart-Lung: CAS 23.0 to < 24.0,Lung/Heart-Lung: CAS 24.0+,Lung/Heart-Lung: Inactive,Intestine: Status 1,Intestine: Non-urgent,Intestine: Temporarily inactive,Kidney/Pancreas/Kidney-Pancreas: Active,Kidney/Panc/Kidney-Panc: Active-Medically urgent,Kidney/Panc/Kidney-Panc: Temporarily inactive,VCA: Active,VCA: Inactive
All Organs,,"108,565",2,14,"3,312","1,859",978,204,90,52,"2,405",216,147,71,31,261,180,"1,678",143,558,702,10,9,125,87,76,59,90,535,4,83,24,55,"51,231",3,"47,332",8,3
Kidney,,"94,310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"50,375",3,"46,215",0,0
Liver,,"8,875",2,14,"3,312","1,859",978,204,90,52,"2,405",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pancreas,,814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,658,0,0
Kidney / Pancreas,,"2,357",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,250",0,"1,132",0,0
Heart,,"3,974",0,0,0,0,0,0,0,0,0,216,147,71,31,261,180,"1,678",143,558,702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lung,,989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,125,86,75,59,90,535,0,0,0,0,0,0,0,0,0
Heart / Lung,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,1,1,10,4,0,0,0,0,0,0,0,0
Intestine,,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,24,55,0,0,0,0,0
VCA - abdominal wall,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
VCA - head and neck,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
VCA - other genitourinary organ,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
VCA - upper limb,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
VCA - uterus,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
