,,All Time,< 30 Days,30 to < 90 Days,90 Days to < 6 Months,6 Months to < 1 Year,1 Year to < 2 Years,2 Years to < 3 Years,3 Years to < 5 Years,5 or More Years
All Organs,,"108,565","5,779","8,090","13,272","20,283","25,223","16,129","15,911","10,381"
Kidney,,"94,310","4,174","6,383","10,942","17,397","22,443","14,754","14,805","9,505"
Liver,,"8,875","1,015","1,074","1,545","1,824","1,599",774,607,524
Pancreas,,814,30,47,80,125,210,110,104,112
Kidney / Pancreas,,"2,357",127,209,315,514,659,324,205,80
Heart,,"3,974",395,417,529,789,830,419,381,250
Lung,,989,202,198,237,170,121,35,17,12
Heart / Lung,,24,0,2,4,3,4,5,2,4
Intestine,,162,9,12,18,23,35,17,17,33
VCA - abdominal wall,,1,0,0,0,0,0,1,0,0
VCA - head and neck,,2,0,0,1,0,0,1,0,0
VCA - other genitourinary organ,,2,2,0,0,0,0,0,0,0
VCA - upper limb,,2,0,0,0,0,0,2,0,0
VCA - uterus,,4,1,1,0,0,1,1,0,0
