,,All ABO,O,A,B,AB
All Organs,,"120,462","66,120","33,198","18,270","2,874"
Kidney,,"102,962","56,731","27,440","16,295","2,496"
Liver,,"8,998","4,638","3,393",817,150
Pancreas,,825,379,284,124,38
Kidney / Pancreas,,"2,466","1,255",670,459,82
Heart,,"4,020","2,401","1,066",469,84
Lung,,992,627,273,78,14
Heart / Lung,,24,14,6,3,1
Intestine,,164,70,62,23,9
VCA - abdominal wall,,1,1,0,0,0
VCA - head and neck,,2,0,1,1,0
VCA - other genitourinary organ,,2,2,0,0,0
VCA - upper limb,,2,1,1,0,0
VCA - uterus,,4,1,2,1,0
