,,All Ethnicities,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic"
All Organs,,"120,462","45,348","33,226","27,970","1,199","9,846","1,056",708,"1,109"
Kidney,,"102,962","35,674","30,389","24,415",908,"9,072",888,668,948
Liver,,"8,998","5,556",581,"2,073",160,456,97,12,63
Pancreas,,825,414,182,159,10,39,6,1,14
Kidney / Pancreas,,"2,466",940,738,545,36,130,35,13,29
Heart,,"4,020","2,026","1,159",573,66,108,25,13,50
Lung,,992,635,144,158,15,31,5,1,3
Heart / Lung,,24,14,6,3,0,1,0,0,0
Intestine,,164,82,25,43,4,8,0,0,2
VCA - abdominal wall,,1,1,0,0,0,0,0,0,0
VCA - head and neck,,2,1,1,0,0,0,0,0,0
VCA - other genitourinary organ,,2,0,0,1,0,1,0,0,0
VCA - upper limb,,2,1,1,0,0,0,0,0,0
VCA - uterus,,4,4,0,0,0,0,0,0,0
