,,All Center States,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin
All Organs,,"120,462","1,246","2,413",390,"20,871","1,540","1,199",149,"1,440","6,835","3,507",348,"4,615","1,516",613,556,"1,047","1,998",235,"2,147","4,120","2,714","2,548",556,"2,207",481,407,253,"2,642",442,"8,344","4,496",120,"2,981",811,"1,235","6,129",496,386,"2,230",436,"3,159","12,446",995,3,"3,669","1,681",181,"1,629"
Kidney,,"102,962","1,001","2,079",333,"18,469","1,298","1,025",140,"1,137","5,825","3,109",317,"3,898","1,242",547,382,868,"1,719",235,"1,673","3,547","2,339","1,961",494,"1,909",345,387,253,"2,430",436,"7,068","4,037",120,"2,273",659,"1,093","5,159",434,386,"1,915",397,"2,836","10,400",835,3,"3,106","1,339",177,"1,327"
Liver,,"8,998",190,216,25,"1,431",168,135,6,202,532,179,27,220,109,17,125,99,157,0,365,331,117,186,40,139,75,0,0,91,0,542,104,0,227,85,90,468,26,0,125,0,131,"1,372",53,0,272,194,0,127
Pancreas,,825,2,4,0,97,12,2,0,15,26,1,0,77,10,4,0,0,5,0,5,28,23,80,0,0,7,0,0,16,0,132,71,0,25,0,3,55,0,0,17,3,14,30,3,0,36,9,0,13
Kidney / Pancreas,,"2,466",18,43,6,373,10,0,0,22,103,43,4,156,46,25,28,18,67,0,42,45,39,183,11,59,2,20,0,63,6,133,117,0,65,15,22,130,29,0,89,36,52,126,25,0,91,39,0,65
Heart,,"4,020",25,56,26,343,48,36,3,53,288,166,0,207,90,15,21,45,45,0,38,138,120,111,11,73,40,0,0,40,0,359,147,0,294,36,27,166,7,0,78,0,119,424,71,0,128,47,4,75
Lung,,992,9,15,0,114,4,0,0,0,47,9,0,47,3,5,0,17,5,0,23,30,73,26,0,27,4,0,0,2,0,94,12,0,74,16,0,116,0,0,6,0,7,90,8,0,34,53,0,22
Heart / Lung,,24,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,3,0,6,0,0,4,0,0,0,0,0,2,0,0,2,0,0,0
Intestine,,164,0,0,0,40,0,0,0,11,13,0,0,10,16,0,0,0,0,0,0,1,2,0,0,0,8,0,0,0,0,13,4,0,15,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
VCA - abdominal wall,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCA - head and neck,,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCA - other genitourinary organ,,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCA - upper limb,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCA - uterus,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
