,,All Time,< 30 Days,30 to < 90 Days,90 Days to < 6 Months,6 Months to < 1 Year,1 Year to < 2 Years,2 Years to < 3 Years,3 Years to < 5 Years,5 or More Years
All Organs,,"120,462","6,003","8,440","13,920","21,388","26,686","16,821","16,524","10,680"
Kidney,,"102,962","4,217","6,477","11,177","17,911","23,203","15,129","15,188","9,660"
Liver,,"8,998","1,019","1,076","1,553","1,832","1,607",776,608,527
Pancreas,,825,31,48,80,128,212,110,104,112
Kidney / Pancreas,,"2,466",127,209,319,528,671,325,206,81
Heart,,"4,020",395,417,531,793,832,419,382,251
Lung,,992,202,198,237,170,121,35,17,12
Heart / Lung,,24,0,2,4,3,4,5,2,4
Intestine,,164,9,12,18,23,35,17,17,33
VCA - abdominal wall,,1,0,0,0,0,0,1,0,0
VCA - head and neck,,2,0,0,1,0,0,1,0,0
VCA - other genitourinary organ,,2,2,0,0,0,0,0,0,0
VCA - upper limb,,2,0,0,0,0,0,2,0,0
VCA - uterus,,4,1,1,0,0,1,1,0,0
