"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","334,922,499","*****"
"    White alone","204,142,876","±113,369"
"    Black or African American alone","40,919,547","±44,560"
"    American Indian and Alaska Native alone","3,095,754","±19,785"
"    Asian alone","19,937,283","±20,448"
"    Native Hawaiian and Other Pacific Islander alone","631,517","±6,330"
"    Some Other Race alone","23,884,085","±78,862"
"    Two or More Races:","42,311,437","±80,151"
"        Two races including Some Other Race","28,686,677","±126,230"
"        Two races excluding Some Other Race, and three or more races","13,624,760","±94,378"
