GEO_ID,NAME,county_fips,state_fips,Tot_pop,male_est,female_est,Age_Under 18 years,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,Race_Pop,Race_White,Race_Black,Race_Hispanic,
0500000US01001,"Autauga County, Alabama",01001,001,59947,29126,30821,14030,47821,45917,44091,11727,9759,59947,45942,13141,59947,
0500000US01003,"Baldwin County, Alabama",01003,003,246989,120360,126629,52190,200551,194799,187366,65536,53523,246989,216913,23063,246989,
0500000US01005,"Barbour County, Alabama",01005,005,24643,12928,11715,5112,20333,19531,18573,5914,4955,24643,11694,11694,24643,
0500000US01007,"Bibb County, Alabama",01007,007,22130,11749,10381,4437,18230,17693,17031,4438,3846,22130,17238,4664,22130,
0500000US01009,"Blount County, Alabama",01009,009,59518,29904,29614,13733,47659,45785,43751,13591,11067,59518,55870,1317,59518,
0500000US01011,"Bullock County, Alabama",01011,011,10058,5476,4582,2068,8250,7990,7430,2259,1867,10058,2579,7200,10058,
0500000US01013,"Butler County, Alabama",01013,013,18630,8647,9983,4112,15040,14518,13821,4894,4101,18630,9870,8462,18630,
0500000US01015,"Calhoun County, Alabama",01015,015,116090,56174,59916,24893,94243,91197,84720,25525,21156,116090,85984,27432,116090,
0500000US01017,"Chambers County, Alabama",01017,017,34192,16195,17997,7149,27511,27043,26042,8314,6939,34192,19925,13498,34192,
0500000US01019,"Cherokee County, Alabama",01019,019,25443,12618,12825,4726,21254,20717,20056,7433,6220,25443,24043,1394,25443,
0500000US01021,"Chilton County, Alabama",01021,021,45992,22446,23546,11105,35878,34887,33431,9748,7802,45992,39548,4906,45992,
0500000US01023,"Choctaw County, Alabama",01023,023,12380,5922,6458,2443,10208,9937,9501,3478,3016,12380,7494,5027,12380,
0500000US01025,"Clarke County, Alabama",01025,025,22543,10724,11819,4858,18265,17685,17017,5665,4748,22543,12068,10277,22543,
0500000US01027,"Clay County, Alabama",01027,027,14192,6868,7324,2974,11495,11218,10686,3626,2918,14192,12019,2137,14192,
0500000US01029,"Cleburne County, Alabama",01029,029,15426,7752,7674,3387,12538,12039,11481,3755,3103,15426,14653,610,15426,
0500000US01031,"Coffee County, Alabama",01031,031,54920,27295,27625,13250,43348,41670,39795,11632,9446,54920,43526,10195,54920,
0500000US01033,"Colbert County, Alabama",01033,033,58022,28097,29925,12368,47127,45654,43845,14239,11853,58022,47480,9814,58022,
0500000US01035,"Conecuh County, Alabama",01035,035,11275,5263,6012,2261,9259,9014,8621,3477,2809,11275,5937,5412,11275,
0500000US01037,"Coosa County, Alabama",01037,037,10300,5223,5077,1795,8734,8505,8181,3210,2607,10300,7136,3137,10300,
0500000US01039,"Covington County, Alabama",01039,039,37628,18151,19477,8346,30187,29282,27771,9655,8355,37628,32543,5003,37628,
0500000US01041,"Crenshaw County, Alabama",01041,041,13122,6375,6747,2987,10534,10135,9743,3353,2649,13122,9760,3434,13122,
0500000US01043,"Cullman County, Alabama",01043,043,90566,45188,45378,20313,72609,70253,67026,20996,17234,90566,87246,1595,90566,
0500000US01045,"Dale County, Alabama",01045,045,49599,24438,25161,11571,39364,38028,36353,11080,8969,49599,37031,11286,49599,
0500000US01047,"Dallas County, Alabama",01047,047,36858,17125,19733,8705,29193,28153,26686,9103,7515,36858,10715,26314,36858,
0500000US01049,"DeKalb County, Alabama",01049,049,72269,36159,36110,17353,56846,54916,52412,15814,12748,72269,61923,1626,72269,
0500000US01051,"Elmore County, Alabama",01051,051,89526,43623,45903,19313,72409,70213,67491,18508,14803,89526,68959,20435,89526,
0500000US01053,"Escambia County, Alabama",01053,053,36629,17970,18659,8308,29192,28321,26953,8380,6955,36629,24008,11850,36629,
0500000US01055,"Etowah County, Alabama",01055,055,103105,50075,53030,22582,83147,80523,77210,24659,20340,103105,83578,16889,103105,
0500000US01057,"Fayette County, Alabama",01057,057,16053,7890,8163,3410,13174,12643,11846,4143,3509,16053,14148,2112,16053,
0500000US01059,"Franklin County, Alabama",01059,059,31966,15596,16370,8052,24809,23914,22729,6438,5328,31966,25705,1490,31966,
0500000US01061,"Geneva County, Alabama",01061,061,26887,13245,13642,5905,21614,20982,20148,6538,5452,26887,23706,2657,26887,
0500000US01063,"Greene County, Alabama",01063,063,7424,3545,3879,1602,5964,5822,5670,2335,1864,7424,1378,6082,7424,
0500000US01065,"Hale County, Alabama",01065,065,14829,7112,7717,3584,11642,11245,10673,3625,2965,14829,6320,8669,14829,
0500000US01067,"Henry County, Alabama",01067,067,17647,8476,9171,3602,14426,14045,13360,4873,4202,17647,13068,4600,17647,
0500000US01069,"Houston County, Alabama",01069,069,108140,51968,56172,24773,86158,83367,79455,24394,20206,108140,75346,30987,108140,
0500000US01071,"Jackson County, Alabama",01071,071,53053,26155,26898,11035,43230,42018,40293,13331,11082,53053,49309,2191,53053,
0500000US01073,"Jefferson County, Alabama",01073,073,667755,316920,350835,153183,532198,514572,487937,138048,112068,667755,349378,291596,667755,
