,,All Donor Types,Deceased Donor,Living Donor
All Centers,,"26,646","22,747","3,899"
TNBM-TX1 Baptist Memorial Hospital,,568,568,0
TNEM-TX1 Erlanger Medical Center,,891,681,210
TNJC-TX1 Johnson City Medical Center Hospital,,667,506,161
TNLB-TX1 Le Bonheur Children's Medical Center,,4,2,2
TNMH-TX1 Methodist University Hospital,,"5,403","4,891",512
TNPV-TX1 Centennial Medical Center,,"1,002",757,245
TNST-TX1 Saint Thomas Hospital,,"2,156","1,857",299
TNUK-TX1 University of Tennessee Medical Center at Knoxville,,"1,614","1,302",312
TNUT-TX1 William F Bowld Hospital University of Tennessee Medical Center,,"1,966","1,659",307
TNVA-TX1 Tennessee Valley Healthcare System,,612,435,177
TNVU-TX1 Vanderbilt University Medical Center,,"11,763","10,089","1,674"
