ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
47,Tennessee,TN,47001,Anderson County,47001,"Anderson County, Tennessee",337.206007584718,77337,0,35326,59,31275,606,18590,1383,1890,355,7208,689,5034,542,7555,907,15586,99,16413,34,15735,882,1698,326,596,277,9604,309,3104,471,3592,423,531,196,1687,378,1322,50,24.5,1.8,5.4,1.0,23.0,2.2,9.1,1.0,9.9,1.2,20.2,0.1,21.2,0.1,20.6,1.2,5.4,1.0,0.8,0.4,12.4,0.4,8.8,1.3,10.2,1.2,1.7,0.6,5.4,1.2,1.7,0.1,0.3298,0.5213,0.7447,0.0851,0.4255,2.1064,0.3085,0.5745,0.5319,0.6064,0.3936,0.6277,2.7341,0.734,0.5532,0.5532,0.5532,0.9149,0.2128,0.4574,0.617,0.5638,2.7659,0.7021,8.1596,0.5745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,80049,3702,446,2442,322,2661,0,1017,145,196,122,62,90,2792,458,434,275,11.8,1.4,3.2,0.4,3.4,0.0,1.3,0.2,0.3,0.2,0.1,0.1,3.6,0.6,0.6,0.4
47,Tennessee,TN,47003,Bedford County,47003,"Bedford County, Tennessee",473.638947756194,50533,0,19813,43,18469,369,10840,1244,1127,323,4527,597,5060,754,6932,973,7356,246,12669,137,7688,656,1507,394,949,389,12540,61,485,229,2596,407,595,247,717,224,616,29,21.8,2.5,4.6,1.3,24.5,3.2,15.0,2.2,13.8,1.9,14.6,0.5,25.1,0.3,15.4,1.3,8.2,2.1,2.0,0.8,24.8,0.1,2.5,1.2,13.1,2.1,3.2,1.3,3.9,1.2,1.2,0.1,0.2128,0.3723,0.8617,0.6064,0.9362,2.9894,0.7234,0.0638,0.9787,0.1809,0.883,0.9362,3.0426,0.8511,0.8617,0.8617,0.8617,0.6809,0.3936,0.9468,0.266,0.2021,2.4894,0.5532,9.3831,0.8191,0,0,0,0,1,1,0,1,0,0,1,2,0,0,0,0,1,0,0,1,4,47689,3048,517,3267,343,6857,0,169,155,136,85,0,32,1848,460,263,242,16.5,2.8,6.5,0.7,13.6,0.0,0.3,0.3,0.3,0.2,0.0,0.1,3.7,0.9,0.5,0.5
47,Tennessee,TN,47005,Benton County,47005,"Benton County, Tennessee",394.306038539842,15933,0,8537,33,6736,285,4672,583,420,160,1129,218,1776,306,1643,300,3754,93,3112,67,3947,333,360,143,0,84,1373,154,79,50,2425,242,66,41,284,116,190,8,29.6,3.7,6.5,2.5,16.8,3.2,15.3,2.6,10.4,1.9,23.6,0.6,19.5,0.4,25.0,2.1,5.3,2.1,0.0,0.6,8.6,1.0,0.9,0.6,28.4,2.8,1.0,0.6,4.2,1.7,1.2,0.1,0.6596,0.766,0.0957,0.6383,0.5106,2.6702,0.5957,0.9468,0.2447,0.8936,0.3723,0.0,2.4574,0.5319,0.266,0.266,0.266,0.2766,0.9362,0.1064,0.3191,0.2021,1.8404,0.1596,7.234,0.3511,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2,13193,1653,223,304,150,289,213,170,133,18,38,123,151,469,209,0,21,24.5,3.1,1.9,0.9,1.8,1.3,1.1,0.8,0.1,0.2,0.8,1.0,2.9,1.3,0.0,0.3
47,Tennessee,TN,47007,Bledsoe County,47007,"Bledsoe County, Tennessee",406.555161941736,14816,0,5860,56,4851,196,4788,663,402,185,811,219,2504,395,2324,572,2861,53,2428,304,3624,450,139,67,73,93,1875,84,18,15,1562,250,116,73,251,103,1174,63,35.1,4.9,6.7,3.2,16.7,4.5,21.9,3.4,17.0,4.2,19.3,0.4,16.4,2.1,26.6,3.3,2.8,1.4,0.5,0.7,12.7,0.6,0.3,0.3,26.7,4.3,2.4,1.5,5.2,2.1,7.9,0.4,0.9574,0.7979,0.0851,0.9787,1.0,3.8191,0.9362,0.4681,0.0106,0.9468,0.0532,0.4468,1.9255,0.1596,0.5745,0.5745,0.5745,0.0638,0.9255,0.7979,0.5851,0.9255,3.2978,0.9255,9.6169,0.8511,1,0,0,1,1,3,0,0,1,0,0,1,0,0,0,1,0,0,1,2,6,13045,986,210,845,296,448,0,20,24,45,40,0,21,490,290,27,33,20.3,4.2,5.7,2.0,3.0,0.0,0.1,0.2,0.3,0.3,0.0,0.3,3.3,2.0,0.2,0.2
47,Tennessee,TN,47009,Blount County,47009,"Blount County, Tennessee",558.819628520376,135951,0,60058,84,53456,571,22415,1701,2768,559,10091,719,9394,764,13298,1489,28024,172,26988,0,18086,1026,2408,420,921,292,13789,362,2541,398,6743,548,1085,297,1585,323,2008,86,16.8,1.3,4.1,0.8,18.9,1.3,9.6,0.8,9.9,1.1,20.6,0.1,19.9,0.0,13.4,0.8,4.5,0.8,0.7,0.2,10.1,0.3,4.2,0.7,11.2,0.9,2.1,0.6,3.0,0.6,1.5,0.1,0.0426,0.266,0.266,0.1064,0.4255,1.1065,0.0745,0.6702,0.2979,0.117,0.2021,0.5851,1.8723,0.1064,0.4574,0.4574,0.4574,0.7766,0.2766,0.6596,0.117,0.4681,2.2979,0.4149,5.7341,0.0957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128865,7384,690,3589,368,5234,0,1008,158,74,60,36,45,3518,490,330,160,13.8,1.3,2.6,0.3,3.8,0.0,0.7,0.1,0.1,0.1,0.0,0.1,2.6,0.4,0.2,0.1
47,Tennessee,TN,47011,Bradley County,47011,"Bradley County, Tennessee",328.761687731624,108859,0,44924,44,41340,555,24693,1906,2894,558,9575,858,8806,699,11758,1076,18634,146,23576,0,19672,1065,2608,497,1403,361,17535,527,2063,374,4622,530,723,194,1957,395,3157,51,23.4,1.8,5.4,1.0,23.2,2.1,11.8,0.9,10.9,1.0,17.1,0.1,21.7,0.0,18.2,1.0,6.3,1.2,1.4,0.4,16.1,0.5,4.6,0.8,10.3,1.2,1.7,0.5,4.7,1.0,2.9,0.0,0.266,0.5213,0.7553,0.2872,0.617,2.4468,0.5,0.234,0.617,0.4043,0.6809,0.8511,2.7873,0.7766,0.7234,0.7234,0.7234,0.8085,0.234,0.4574,0.4574,0.766,2.7233,0.6915,8.6808,0.6915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111119,5745,657,4972,304,7506,0,1044,147,202,89,0,32,2670,387,1141,508,13.9,1.5,4.6,0.3,6.9,0.0,1.0,0.1,0.2,0.1,0.0,0.1,2.5,0.4,1.0,0.5
47,Tennessee,TN,47013,Campbell County,47013,"Campbell County, Tennessee",480.189384403314,39397,0,20155,55,16255,445,12544,1246,1161,251,3626,435,5349,524,3944,494,8123,99,8091,98,10951,746,744,194,83,120,1630,44,747,195,3124,314,379,210,1008,200,684,15,32.6,3.2,7.1,1.6,22.3,2.6,18.8,1.9,10.2,1.3,20.6,0.3,20.5,0.2,28.3,1.9,4.6,1.2,0.2,0.3,4.1,0.1,3.7,1.0,15.5,1.6,2.3,1.3,6.2,1.2,1.7,0.0,0.8723,0.8298,0.6596,0.8511,0.4894,3.7022,0.9149,0.6702,0.4149,1.0,0.2234,0.1702,2.4787,0.5532,0.0213,0.0213,0.0213,0.766,0.4574,0.734,0.7553,0.5638,3.2765,0.9043,9.4787,0.8298,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,32933,4244,387,117,85,661,0,176,15,17,17,0,29,645,88,14,24,26.1,2.3,0.3,0.2,1.7,0.0,0.4,0.1,0.0,0.1,0.0,0.1,1.6,0.2,0.0,0.1
47,Tennessee,TN,47015,Cannon County,47015,"Cannon County, Tennessee",265.635233516658,14481,0,6338,57,5769,170,3540,614,217,131,1037,217,1486,261,1631,374,2515,29,3099,27,2807,335,286,93,48,86,1027,27,31,33,1053,223,95,66,283,125,152,6,24.7,4.3,3.3,2.0,18.0,3.7,14.4,2.5,11.4,2.6,17.4,0.2,21.4,0.2,19.6,2.3,5.0,1.6,0.4,0.6,7.1,0.2,0.5,0.5,16.6,3.5,1.6,1.1,4.9,2.1,1.0,0.0,0.3511,0.0532,0.1702,0.5638,0.6915,1.8298,0.2553,0.266,0.5426,0.5426,0.2766,0.383,2.0108,0.2234,0.1596,0.1596,0.1596,0.1489,0.5,0.4255,0.4787,0.117,1.6701,0.1064,5.6703,0.0745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9187,1440,218,359,84,397,0,0,21,19,19,2,3,250,87,0,21,25.0,3.8,2.5,0.6,2.7,0.0,0.0,0.3,0.1,0.1,0.0,0.1,1.7,0.6,0.0,0.3
47,Tennessee,TN,47017,Carroll County,47017,"Carroll County, Tennessee",597.657317116062,28381,0,13117,53,11038,325,7952,803,574,158,2126,318,2189,266,2922,446,5710,74,6173,0,5621,491,598,159,55,97,4533,12,150,68,2187,265,96,61,734,221,1061,30,29.1,2.9,4.6,1.2,19.3,2.8,11.3,1.4,10.5,1.6,20.1,0.3,21.8,0.0,20.1,1.8,5.5,1.4,0.2,0.4,16.0,0.0,1.1,0.5,16.7,2.0,0.8,0.6,6.6,2.0,3.7,0.1,0.6383,0.3723,0.3191,0.2447,0.5532,2.1276,0.3191,0.5426,0.6383,0.5851,0.4468,0.1702,2.383,0.4468,0.7128,0.7128,0.7128,0.3723,0.5106,0.0638,0.7979,0.8298,2.5744,0.6064,7.7978,0.4681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25578,2404,310,2506,241,881,0,87,76,31,26,0,25,1026,232,2,5,21.8,2.8,8.8,0.8,3.1,0.0,0.3,0.3,0.1,0.1,0.0,0.1,3.6,0.8,0.0,0.1
47,Tennessee,TN,47019,Carter County,47019,"Carter County, Tennessee",341.258232244954,56315,0,27881,48,23940,393,16700,1289,1794,316,5041,555,5284,549,7157,792,12439,112,10157,61,12302,848,1324,272,234,165,3982,132,587,168,5191,554,281,120,1420,234,1570,26,30.6,2.4,7.2,1.2,21.1,2.3,12.6,1.3,12.9,1.4,22.1,0.2,18.0,0.1,22.2,1.5,5.5,1.1,0.4,0.3,7.1,0.2,2.1,0.6,18.6,2.0,1.2,0.5,5.9,1.0,2.8,0.0,0.7766,0.8404,0.5532,0.4043,0.8511,3.4256,0.8191,0.8404,0.0745,0.734,0.4468,0.383,2.4787,0.5532,0.1596,0.1596,0.1596,0.5957,0.5851,0.1702,0.7234,0.7553,2.8297,0.7447,8.8936,0.734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44169,5116,526,1212,146,1526,0,259,95,35,29,19,31,910,225,21,31,21.4,2.1,2.2,0.3,2.7,0.0,0.5,0.2,0.1,0.1,0.0,0.1,1.6,0.4,0.0,0.1
