,,,,To Date,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
All Donor Types,All ABO,All Birth Sexes,,"3,522",261,222,225,203,198,202,161,152,154,121,78,55,68,59,54,45,57,50,50,37,49,59,54,63,63,53,65,64,62,69,77,61,69,50,50,72,50,40
,,Male,,"2,544",182,160,156,153,142,135,105,104,121,88,48,37,48,40,37,32,37,33,38,29,36,45,37,44,45,40,48,49,51,53,58,48,47,43,40,60,43,32
,,Female,,978,79,62,69,50,56,67,56,48,33,33,30,18,20,19,17,13,20,17,12,8,13,14,17,19,18,13,17,15,11,16,19,13,22,7,10,12,7,8
,O,All Birth Sexes,,"1,469",106,104,104,85,95,105,63,66,71,45,23,13,30,20,19,21,21,23,19,18,21,21,30,24,18,19,22,24,32,29,31,27,24,17,22,23,20,14
,,Male,,"1,034",67,72,75,60,68,67,38,44,52,29,11,11,23,13,11,17,12,18,13,14,15,16,18,15,12,14,19,20,25,22,25,22,18,14,18,21,16,9
,,Female,,435,39,32,29,25,27,38,25,22,19,16,12,2,7,7,8,4,9,5,6,4,6,5,12,9,6,5,3,4,7,7,6,5,6,3,4,2,4,5
,A,All Birth Sexes,,"1,435",104,86,87,76,74,62,65,60,59,52,34,26,27,23,23,19,23,17,18,14,21,24,20,31,38,23,32,33,20,27,31,25,37,26,22,36,19,21
,,Male,,"1,058",77,64,62,60,55,44,46,41,51,39,24,16,17,17,17,11,14,7,13,12,16,18,16,23,26,16,25,23,18,23,19,18,24,23,18,30,17,18
,,Female,,377,27,22,25,16,19,18,19,19,8,13,10,10,10,6,6,8,9,10,5,2,5,6,4,8,12,7,7,10,2,4,12,7,13,3,4,6,2,3
,B,All Birth Sexes,,470,37,24,28,34,22,27,21,21,15,18,14,12,10,11,9,2,11,7,10,3,7,11,4,6,7,11,6,6,9,12,13,7,5,7,3,9,7,4
,,Male,,345,27,17,15,25,15,19,13,16,11,16,8,7,8,7,6,2,9,6,9,3,5,8,3,4,7,10,2,5,7,8,13,6,4,6,1,7,6,4
,,Female,,125,10,7,13,9,7,8,8,5,4,2,6,5,2,4,3,0,2,1,1,0,2,3,1,2,0,1,4,1,2,4,0,1,1,1,2,2,1,0
,AB,All Birth Sexes,,148,14,8,6,8,7,8,12,5,9,6,7,4,1,5,3,3,2,3,3,2,0,3,0,2,0,0,5,1,1,1,2,2,3,0,3,4,4,1
,,Male,,107,11,7,4,8,4,5,8,3,7,4,5,3,0,3,3,2,2,2,3,0,0,3,0,2,0,0,2,1,1,0,1,2,1,0,3,2,4,1
,,Female,,41,3,1,2,0,3,3,4,2,2,2,2,1,1,2,0,1,0,1,0,2,0,0,0,0,0,0,3,0,0,1,1,0,2,0,0,2,0,0
Deceased Donor,All ABO,All Birth Sexes,,"3,522",261,222,225,203,198,202,161,152,154,121,78,55,68,59,54,45,57,50,50,37,49,59,54,63,63,53,65,64,62,69,77,61,69,50,50,72,50,40
,,Male,,"2,544",182,160,156,153,142,135,105,104,121,88,48,37,48,40,37,32,37,33,38,29,36,45,37,44,45,40,48,49,51,53,58,48,47,43,40,60,43,32
,,Female,,978,79,62,69,50,56,67,56,48,33,33,30,18,20,19,17,13,20,17,12,8,13,14,17,19,18,13,17,15,11,16,19,13,22,7,10,12,7,8
,O,All Birth Sexes,,"1,469",106,104,104,85,95,105,63,66,71,45,23,13,30,20,19,21,21,23,19,18,21,21,30,24,18,19,22,24,32,29,31,27,24,17,22,23,20,14
,,Male,,"1,034",67,72,75,60,68,67,38,44,52,29,11,11,23,13,11,17,12,18,13,14,15,16,18,15,12,14,19,20,25,22,25,22,18,14,18,21,16,9
,,Female,,435,39,32,29,25,27,38,25,22,19,16,12,2,7,7,8,4,9,5,6,4,6,5,12,9,6,5,3,4,7,7,6,5,6,3,4,2,4,5
,A,All Birth Sexes,,"1,435",104,86,87,76,74,62,65,60,59,52,34,26,27,23,23,19,23,17,18,14,21,24,20,31,38,23,32,33,20,27,31,25,37,26,22,36,19,21
,,Male,,"1,058",77,64,62,60,55,44,46,41,51,39,24,16,17,17,17,11,14,7,13,12,16,18,16,23,26,16,25,23,18,23,19,18,24,23,18,30,17,18
,,Female,,377,27,22,25,16,19,18,19,19,8,13,10,10,10,6,6,8,9,10,5,2,5,6,4,8,12,7,7,10,2,4,12,7,13,3,4,6,2,3
,B,All Birth Sexes,,470,37,24,28,34,22,27,21,21,15,18,14,12,10,11,9,2,11,7,10,3,7,11,4,6,7,11,6,6,9,12,13,7,5,7,3,9,7,4
,,Male,,345,27,17,15,25,15,19,13,16,11,16,8,7,8,7,6,2,9,6,9,3,5,8,3,4,7,10,2,5,7,8,13,6,4,6,1,7,6,4
,,
,,Female,,125,10,7,13,9,7,8,8,5,4,2,6,5,2,4,3,0,2,1,1,0,2,3,1,2,0,1,4,1,2,4,0,1,1,1,2,2,1,0
,AB,All Birth Sexes,,148,14,8,6,8,7,8,12,5,9,6,7,4,1,5,3,3,2,3,3,2,0,3,0,2,0,0,5,1,1,1,2,2,3,0,3,4,4,1
,,Male,,107,11,7,4,8,4,5,8,3,7,4,5,3,0,3,3,2,2,2,3,0,0,3,0,2,0,0,2,1,1,0,1,2,1,0,3,2,4,1
,,Female,,41,3,1,2,0,3,3,4,2,2,2,2,1,1,2,0,1,0,1,0,2,0,0,0,0,0,0,3,0,0,1,1,0,2,0,0,2,0,0
