"Notes","State","State Code","Year","Year Code","Cause of death","Cause of death Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Tennessee","47","2018","2018","Mitral stenosis","I05.0",16,6770010,Unreliable,Unreliable
,"Tennessee","47","2018","2018","Mitral valve disease, unspecified","I05.9",28,6770010,0.4,0.4
,"Tennessee","47","2018","2018","Disorders of both mitral and aortic valves","I08.0",13,6770010,Unreliable,Unreliable
,"Tennessee","47","2018","2018","Essential (primary) hypertension","I10",424,6770010,6.3,5.1
,"Tennessee","47","2018","2018","Hypertensive heart disease with (congestive) heart failure","I11.0",700,6770010,10.3,8.9
,"Tennessee","47","2018","2018","Hypertensive heart disease without (congestive) heart failure","I11.9",903,6770010,13.3,11.4
,"Tennessee","47","2018","2018","Hypertensive renal disease with renal failure","I12.0",321,6770010,4.7,4.0
,"Tennessee","47","2018","2018","Hypertensive renal disease without renal failure","I12.9",20,6770010,0.3,0.3
,"Tennessee","47","2018","2018","Hypertensive heart and renal disease with (congestive) heart failure","I13.0",45,6770010,0.7,0.6
,"Tennessee","47","2018","2018","Hypertensive heart and renal disease with renal failure","I13.1",107,6770010,1.6,1.4
,"Tennessee","47","2018","2018","Hypertensive heart and renal disease with both (congestive) heart failure and renal failure","I13.2",156,6770010,2.3,2.0
,"Tennessee","47","2018","2018","Hypertensive heart and renal disease, unspecified","I13.9",35,6770010,0.5,0.4
,"Tennessee","47","2018","2018","Acute subendocardial myocardial infarction","I21.4",201,6770010,3.0,2.4
,"Tennessee","47","2018","2018","Acute myocardial infarction, unspecified","I21.9",3378,6770010,49.9,41.0
,"Tennessee","47","2018","2018","Other forms of acute ischaemic heart disease","I24.8",10,6770010,Unreliable,Unreliable
,"Tennessee","47","2018","2018","Acute ischaemic heart disease, unspecified","I24.9",55,6770010,0.8,0.7
,"Tennessee","47","2018","2018","Atherosclerotic cardiovascular disease, so described","I25.0",1811,6770010,26.8,21.7
,"Tennessee","47","2018","2018","Atherosclerotic heart disease","I25.1",3785,6770010,55.9,46.4
,"Tennessee","47","2018","2018","Ischaemic cardiomyopathy","I25.5",252,6770010,3.7,3.1
,"Tennessee","47","2018","2018","Other forms of chronic ischaemic heart disease","I25.8",17,6770010,Unreliable,Unreliable
,"Tennessee","47","2018","2018","Chronic ischaemic heart disease, unspecified","I25.9",386,6770010,5.7,4.8
,"Tennessee","47","2018","2018","Pulmonary embolism without mention of acute cor pulmonale","I26.9",218,6770010,3.2,2.7
,"Tennessee","47","2018","2018","Other secondary pulmonary hypertension","I27.2",142,6770010,2.1,1.8
,"Tennessee","47","2018","2018","Pulmonary heart disease, unspecified","I27.9",21,6770010,0.3,0.3
,"Tennessee","47","2018","2018","Pericardial effusion (noninflammatory)","I31.3",11,6770010,Unreliable,Unreliable
,"Tennessee","47","2018","2018","Acute and subacute infective endocarditis","I33.0",60,6770010,0.9,0.8
,"Tennessee","47","2018","2018","Mitral (valve) insufficiency","I34.0",36,6770010,0.5,0.5
,"Tennessee","47","2018","2018","Aortic (valve) stenosis","I35.0",260,6770010,3.8,3.3
,"Tennessee","47","2018","2018","Aortic (valve) insufficiency","I35.1",10,6770010,Unreliable,Unreliable
,"Tennessee","47","2018","2018","Other aortic valve disorders","I35.8",16,6770010,Unreliable,Unreliable
,"Tennessee","47","2018","2018","Aortic valve disorder, unspecified","I35.9",31,6770010,0.5,0.4
,"Tennessee","47","2018","2018","Endocarditis, valve unspecified","I38",96,6770010,1.4,1.2
,"Tennessee","47","2018","2018","Dilated cardiomyopathy","I42.0",76,6770010,1.1,1.0
,"Tennessee","47","2018","2018","Other hypertrophic cardiomyopathy","I42.2",17,6770010,Unreliable,Unreliable
,"Tennessee","47","2018","2018","Alcoholic cardiomyopathy","I42.6",12,6770010,Unreliable,Unreliable
,"Tennessee","47","2018","2018","Cardiomyopathy, unspecified","I42.9",249,6770010,3.7,3.1
,"Tennessee","47","2018","2018","Atrioventricular block, complete","I44.2",17,6770010,Unreliable,Unreliable
,"Tennessee","47","2018","2018","Other specified conduction disorders","I45.8",35,6770010,0.5,0.4
,"Tennessee","47","2018","2018","Sudden cardiac death, so described","I46.1",62,6770010,0.9,0.8
,"Tennessee","47","2018","2018","Cardiac arrest, unspecified","I46.9",404,6770010,6.0,4.9
,"Tennessee","47","2018","2018","Ventricular tachycardia","I47.2",26,6770010,0.4,0.3
,"Tennessee","47","2018","2018","Atrial fibrillation and flutter","I48",521,6770010,7.7,6.5
,"Tennessee","47","2018","2018","Ventricular fibrillation and flutter","I49.0",50,6770010,0.7,0.6
,"Tennessee","47","2018","2018","Sick sinus syndrome","I49.5",12,6770010,Unreliable,Unreliable
,"Tennessee","47","2018","2018","Cardiac arrhythmia, unspecified","I49.9",117,6770010,1.7,1.4
,"Tennessee","47","2018","2018","Congestive heart failure","I50.0",1209,6770010,17.9,15.2
,"Tennessee","47","2018","2018","Left ventricular failure","I50.1",17,6770010,Unreliable,Unreliable
,"Tennessee","47","2018","2018","Heart failure, unspecified","I50.9",302,6770010,4.5,3.7
,"Tennessee","47","2018","2018","Cardiovascular disease, unspecified","I51.6",136,6770010,2.0,1.7
,"Tennessee","47","2018","2018","Cardiomegaly","I51.7",52,6770010,0.8,0.7
,"Tennessee","47","2018","2018","Other ill-defined heart diseases","I51.8",53,6770010,0.8,0.6
