"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Below poverty level!!Estimate","United States!!Below poverty level!!Margin of Error","United States!!Percent below poverty level!!Estimate","United States!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","332,143,258","±27,427","40,354,267","±248,561","12.1%","±0.1"
"    AGE","","","","","",""
"        Under 18 years","71,799,962","±40,917","11,116,682","±126,951","15.5%","±0.2"
"            Under 5 years","18,012,625","±23,771","2,971,742","±50,435","16.5%","±0.3"
"            5 to 17 years","53,787,337","±35,414","8,144,940","±96,808","15.1%","±0.2"
"            Related children of householder under 18 years","71,489,456","±41,791","10,833,251","±128,057","15.2%","±0.2"
"        18 to 64 years","200,530,978","±25,235","22,543,760","±138,935","11.2%","±0.1"
"            18 to 34 years","73,478,149","±36,748","10,132,075","±82,003","13.8%","±0.1"
"            35 to 64 years","127,052,829","±43,204","12,411,685","±89,909","9.8%","±0.1"
"        60 years and over","81,335,646","±74,732","9,099,752","±54,689","11.2%","±0.1"
"        65 years and over","59,812,318","±25,207","6,693,825","±41,119","11.2%","±0.1"
"    SEX","","","","","",""
"        Male","163,718,444","±42,422","17,984,911","±129,423","11.0%","±0.1"
"        Female","168,424,814","±40,477","22,369,356","±137,895","13.3%","±0.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","",""
"        White alone","198,843,975","±131,714","18,954,849","±137,799","9.5%","±0.1"
"        Black or African American alone","39,539,095","±103,547","8,025,657","±110,802","20.3%","±0.3"
"        American Indian and Alaska Native alone","3,326,981","±54,525","651,244","±22,682","19.6%","±0.6"
"        Asian alone","20,892,463","±47,156","2,029,004","±40,544","9.7%","±0.2"
"        Native Hawaiian and Other Pacific Islander alone","631,319","±17,645","98,929","±11,294","15.7%","±1.8"
"        Some other race alone","24,832,484","±136,130","4,415,795","±67,612","17.8%","±0.3"
"        Two or more races","44,076,941","±195,100","6,178,789","±81,016","14.0%","±0.2"
"        Hispanic or Latino origin (of any race)","66,725,554","±21,664","10,776,424","±113,435","16.2%","±0.2"
"        White alone, not Hispanic or Latino","187,178,698","±58,764","17,106,630","±128,752","9.1%","±0.1"
"    EDUCATIONAL ATTAINMENT","","","","","",""
"        Population 25 years and over","232,389,383","±69,080","24,133,453","±126,112","10.4%","±0.1"
"            Less than high school graduate","22,978,828","±153,666","5,524,473","±63,823","24.0%","±0.2"
"            High school graduate (includes equivalency)","59,224,603","±180,710","8,491,352","±69,335","14.3%","±0.1"
"            Some college, associate's degree","63,665,965","±145,997","6,171,986","±53,423","9.7%","±0.1"
"            Bachelor's degree or higher","86,519,987","±299,357","3,945,642","±38,473","4.6%","±0.1"
