GEO_ID,NAME,fip_county,state_fip,Tot_Pop,male_est,female_est,Under 18 years,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,Race_Pop,Race_White,Race_Black,Race_Asian,Race_Hispanic,Other Race,Median_Income,Poverty_rate,Uninsured_rate
0400000US01001,Alabama,001,01001,5157699,2490551,2667148,1132203,4160138,4025496,3796788,1161521,955166,5157699,3301529,1302107,79589,5157699,128575,63999,4666970,640276
0400000US01002,Alaska,002,01002,740133,390301,349832,174198,586083,565935,539862,138571,109415,740133,434520,18548,44077,740133,15526,92788,696822,134276
0400000US01004,Arizona,004,01004,7582384,3782883,3799501,1585751,6193806,5996633,5682695,1775958,1491158,7582384,4345673,360868,302736,7582384,707919,79964,6272686,1050638
0400000US01005,Arkansas,005,01005,3088354,1517526,1570828,698141,2477205,2390213,2261840,684145,562707,3088354,2105944,437805,55184,3088354,96607,60773,2839798,455936
0400000US01006,California,006,01006,39431263,19675103,19756160,8411338,32089744,31019925,29426405,7905281,6524861,39431263,15013785,2110721,6349574,39431263,7433192,99122,36593372,6267799
0400000US01008,Colorado,008,01008,5957494,3016719,2940775,1206847,4901957,4750647,4520433,1193674,980364,5957494,4132111,253267,207526,5957494,376693,95470,4934178,710571
0400000US01009,Connecticut,009,01009,3675069,1804896,1870173,727220,3042260,2947849,2797790,868125,713337,3675069,2340945,395358,176534,3675069,293928,95781,3466977,301810
0400000US01010,Delaware,010,01010,1051917,506763,545154,213746,863403,838171,797979,273966,227824,1051917,611856,231835,50819,1051917,56704,84954,874321,81122
0400000US01011,District of Columbia,011,01011,702250,332062,370188,130018,584506,572232,543551,110753,90674,702250,263797,290136,34796,702250,39969,109870,570953,40009
0400000US01012,Florida,012,01012,23372215,11488598,11883617,4491936,19432374,18880279,18066179,6048516,5094353,23372215,12663611,3451885,722622,23372215,1610549,74568,18436788,3730582
0400000US01013,Georgia,013,01013,11180878,5441586,5739292,2531131,8972406,8649747,8190829,2177452,1765603,11180878,5571578,3421874,547463,11180878,598698,77353,9446906,1776980
0400000US01015,Hawaii,015,01015,1446146,723923,722223,293560,1184486,1152586,1107788,364400,311305,1446146,317359,25487,524385,1446146,25573,100389,1326373,89875
0400000US01016,Idaho,016,01016,2001619,1007233,994386,467247,1593794,1534372,1449223,429562,355551,2001619,1619182,15547,30172,2001619,97790,77800,1541860,253291
0400000US01017,Illinois,017,01017,12710158,6280259,6429899,2692660,10362614,10017498,9535841,2752171,2274582,12710158,7650197,1679701,812604,12710158,1100865,83390,12543457,1563887
