,,,,All Ages,All Ages,All Ages,All Ages,All Ages,All Ages,All Ages,All Ages,All Ages,< 1 Year,< 1 Year,< 1 Year,< 1 Year,< 1 Year,< 1 Year,< 1 Year,< 1 Year,< 1 Year,1-5 Years,1-5 Years,1-5 Years,1-5 Years,1-5 Years,1-5 Years,1-5 Years,1-5 Years,1-5 Years,6-10 Years,6-10 Years,6-10 Years,6-10 Years,6-10 Years,6-10 Years,6-10 Years,6-10 Years,6-10 Years,11-17 Years,11-17 Years,11-17 Years,11-17 Years,11-17 Years,11-17 Years,11-17 Years,11-17 Years,11-17 Years,18-34 Years,18-34 Years,18-34 Years,18-34 Years,18-34 Years,18-34 Years,18-34 Years,18-34 Years,18-34 Years,35-49 Years,35-49 Years,35-49 Years,35-49 Years,35-49 Years,35-49 Years,35-49 Years,35-49 Years,35-49 Years,50-64 Years,50-64 Years,50-64 Years,50-64 Years,50-64 Years,50-64 Years,50-64 Years,50-64 Years,50-64 Years,65 +,65 +,65 +,65 +,65 +,65 +,65 +,65 +,65 +,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,All Ethnicities,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic",All Ethnicities,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic",All Ethnicities,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic",All Ethnicities,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic",All Ethnicities,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic",All Ethnicities,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic",All Ethnicities,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic",All Ethnicities,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic",All Ethnicities,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Pacific Islander, Non-Hispanic","Multiracial, Non-Hispanic",All Ethnicities,"White, Non-Hispanic","Black, Non-Hispanic",Hispanic/Latino,Unknown,"Asian, Non-Hispanic","Multiracial, Non-Hispanic"
All Birth Sexes,All ABO,All Donor States of Residence,,"523,580","364,447","67,797","70,182",929,"14,048","2,639","1,623","1,915","4,145","2,302",988,714,8,70,24,9,30,"7,931","4,782","1,540","1,355",19,132,35,20,48,"5,115","3,163","1,021",773,9,96,18,14,21,"19,341","13,068","2,933","2,800",41,290,125,35,49,"150,117","96,497","22,372","25,170",244,"3,651",925,565,693,"172,701","121,569","21,034","22,747",291,"4,846",914,605,695,"132,912","99,112","14,658","13,814",226,"3,926",520,337,319,"31,280","23,937","3,248","2,799",86,"1,035",78,38,59,38,17,3,10,5,2,1
,,Alabama,,"8,466","6,226","2,026",123,6,58,10,5,12,76,46,26,2,0,1,0,1,0,128,86,36,4,0,2,0,0,0,99,72,19,4,2,1,0,0,1,385,285,91,4,0,2,1,0,2,"2,569","1,789",715,38,2,19,4,1,1,"2,714","2,014",622,48,2,17,3,0,8,"2,060","1,587",438,18,0,12,2,3,0,434,346,79,5,0,4,0,0,0,1,1,0,0,0,0,0
,,Alaska,,"1,293",954,50,40,2,35,184,16,12,10,6,0,0,0,0,4,0,0,27,24,0,0,0,0,2,0,1,19,12,0,2,0,0,4,1,0,63,44,2,1,0,2,14,0,0,396,271,28,14,1,9,64,5,4,471,357,14,12,1,17,60,5,5,270,213,5,10,0,4,31,5,2,37,27,1,1,0,3,5,0,0,0,0,0,0,0,0,0
,,Arizona,,"9,975","6,676",511,"2,281",6,151,280,27,43,67,36,10,19,0,0,1,0,1,165,87,13,50,0,6,5,1,3,99,55,5,33,0,1,3,2,0,374,223,30,105,1,5,8,1,1,"3,128","1,863",172,915,0,32,121,9,16,"3,174","2,112",168,708,3,59,103,8,13,"2,418","1,850",95,390,1,34,36,6,6,550,450,18,61,1,14,3,0,3,0,0,0,0,0,0,0
,,Arkansas,,"4,344","3,469",657,149,1,38,9,11,10,57,31,20,6,0,0,0,0,0,73,50,14,7,0,0,0,1,1,53,34,14,4,0,0,0,1,0,212,163,40,7,0,1,1,0,0,"1,375","1,071",236,53,0,9,4,1,1,"1,394","1,121",203,39,0,17,2,6,6,976,818,114,29,1,8,2,2,2,204,181,16,4,0,3,0,0,0,0,0,0,0,0,0,0
,,California,,"51,917","25,762","4,069","16,701",98,"4,202",190,462,433,387,150,44,157,3,24,2,1,6,748,334,69,311,3,23,1,2,5,456,181,64,174,0,32,0,2,3,"1,710",741,162,707,3,76,7,7,7,"15,312","6,512","1,357","6,028",20,"1,013",61,156,165,"17,142","8,583","1,287","5,437",31,"1,425",53,177,149,"13,450","7,666",932,"3,318",32,"1,264",55,105,78,"2,711","1,595",154,569,6,344,11,12,20,1,0,0,0,0,1,0
,,Colorado,,"8,273","6,350",361,"1,310",13,149,46,13,31,52,35,4,11,0,0,2,0,0,88,63,5,19,0,1,0,0,0,57,38,2,13,0,3,1,0,0,346,256,14,64,1,8,3,0,0,"2,490","1,757",128,513,4,54,17,4,13,"2,955","2,330",119,429,4,45,11,5,12,"2,013","1,639",78,242,4,31,10,4,5,272,232,11,19,0,7,2,0,1,0,0,0,0,0,0,0
,,Connecticut,,"5,402","4,054",487,709,4,96,6,6,40,25,9,7,9,0,0,0,0,0,51,23,9,16,0,3,0,0,0,42,28,4,10,0,0,0,0,0,156,107,16,28,3,1,1,0,0,"1,363",920,154,252,0,19,3,3,12,"1,824","1,363",169,243,0,29,1,3,16,"1,605","1,325",103,135,1,32,1,0,8,336,279,25,16,0,12,0,0,4,0,0,0,0,0,0,0
,,Delaware,,"2,094","1,564",398,92,1,33,1,1,4,14,8,6,0,0,0,0,0,0,19,11,2,5,0,1,0,0,0,20,12,4,4,0,0,0,0,0,61,50,9,2,0,0,0,0,0,556,390,107,44,1,12,0,0,2,682,508,137,26,0,9,1,0,1,540,415,106,8,0,10,0,1,0,202,170,27,3,0,1,0,0,1,0,0,0,0,0,0,0
,,District of Columbia,,"1,352",380,850,88,1,24,2,3,4,9,4,5,0,0,0,0,0,0,10,1,9,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,36,1,34,1,0,0,0,0,0,476,154,274,36,0,11,1,0,0,410,119,240,34,1,11,1,2,2,311,82,212,13,0,2,0,1,1,90,19,66,4,0,0,0,0,1,0,0,0,0,0,0,0
