,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung
All ABO,All Time,,"2,877","2,604",132,14,54,116,10
,< 30 Days,,125,82,18,1,5,17,7
,30 to < 90 Days,,264,234,14,2,7,9,1
,90 Days to < 6 Months,,370,329,15,1,8,23,2
,6 Months to < 1 Year,,593,534,24,2,13,33,0
,1 Year to < 2 Years,,725,664,36,3,11,23,0
,2 Years to < 3 Years,,412,391,6,3,8,6,0
,3 Years to < 5 Years,,376,366,9,1,2,3,0
,5 or More Years,,164,151,10,1,2,2,0
O,All Time,,"1,620","1,452",78,6,23,84,6
,< 30 Days,,73,47,10,0,4,11,4
,30 to < 90 Days,,122,110,6,1,2,5,0
,90 Days to < 6 Months,,188,161,12,1,3,14,2
,6 Months to < 1 Year,,323,285,14,1,6,26,0
,1 Year to < 2 Years,,413,372,23,1,4,19,0
,2 Years to < 3 Years,,251,241,3,1,3,4,0
,3 Years to < 5 Years,,233,228,2,0,0,3,0
,5 or More Years,,103,92,8,1,1,2,0
A,All Time,,773,703,47,3,15,16,2
,< 30 Days,,28,20,4,1,1,2,1
,30 to < 90 Days,,100,90,7,0,2,1,1
,90 Days to < 6 Months,,107,98,2,0,4,4,0
,6 Months to < 1 Year,,167,151,10,1,3,4,0
,1 Year to < 2 Years,,194,180,12,0,3,3,0
,2 Years to < 3 Years,,97,90,3,1,2,2,0
,3 Years to < 5 Years,,83,78,7,0,0,0,0
,
,5 or More Years,,32,30,2,0,1,0,0
B,All Time,,429,399,5,4,15,15,2
,< 30 Days,,20,13,2,0,0,4,2
,30 to < 90 Days,,37,31,1,0,3,2,0
,90 Days to < 6 Months,,66,61,1,0,1,5,0
,6 Months to < 1 Year,,89,85,0,0,3,3,0
,1 Year to < 2 Years,,106,100,1,2,4,1,0
,2 Years to < 3 Years,,57,53,0,1,3,0,0
,3 Years to < 5 Years,,56,56,0,1,2,0,0
,5 or More Years,,27,27,0,0,0,0,0
AB,All Time,,55,50,2,1,1,1,0
,< 30 Days,,4,2,2,0,0,0,0
,30 to < 90 Days,,5,3,0,1,0,1,0
,90 Days to < 6 Months,,9,9,0,0,0,0,0
,6 Months to < 1 Year,,14,13,0,0,1,0,0
,1 Year to < 2 Years,,12,12,0,0,0,0,0
,2 Years to < 3 Years,,7,7,0,0,0,0,0
,3 Years to < 5 Years,,4,4,0,0,0,0,0
,5 or More Years,,2,2,0,0,0,0,0
