,,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung
All ABO,All Time,All Birth Sexes,,"2,877","2,604",132,14,54,116,10
,,Male,,"1,855","1,695",72,6,21,93,2
,,Female,,"1,022",909,60,8,33,23,8
,< 30 Days,All Birth Sexes,,125,82,18,1,5,17,7
,,Male,,79,58,9,0,1,12,2
,,Female,,46,24,9,1,4,5,5
,30 to < 90 Days,All Birth Sexes,,264,234,14,2,7,9,1
,,Male,,157,143,9,0,1,7,0
,,Female,,107,91,5,2,6,2,1
,90 Days to < 6 Months,All Birth Sexes,,370,329,15,1,8,23,2
,,Male,,222,198,9,1,6,14,0
,,Female,,148,131,6,0,2,9,2
,6 Months to < 1 Year,All Birth Sexes,,593,534,24,2,13,33,0
,,Male,,384,343,14,2,6,28,0
,,Female,,209,191,10,0,7,5,0
,1 Year to < 2 Years,All Birth Sexes,,725,664,36,3,11,23,0
,,Male,,478,442,14,2,3,23,0
,,Female,,247,222,22,1,8,0,0
,2 Years to < 3 Years,All Birth Sexes,,412,391,6,3,8,6,0
,,Male,,269,258,5,1,3,4,0
,,Female,,143,133,1,2,5,2,0
,3 Years to < 5 Years,All Birth Sexes,,376,366,9,1,2,3,0
,,Male,,257,250,5,0,0,3,0
,,Female,,119,116,4,1,2,0,0
,5 or More Years,All Birth Sexes,,164,151,10,1,2,2,0
,,Male,,116,107,7,0,1,2,0
,,
,,Female,,48,44,3,1,1,0,0
O,All Time,All Birth Sexes,,"1,620","1,452",78,6,23,84,6
,,Male,,"1,068",957,46,2,11,70,2
,,Female,,552,495,32,4,12,14,4
,< 30 Days,All Birth Sexes,,73,47,10,0,4,11,4
,,Male,,47,31,7,0,1,8,2
,,Female,,26,16,3,0,3,3,2
,30 to < 90 Days,All Birth Sexes,,122,110,6,1,2,5,0
,,Male,,73,66,4,0,0,5,0
,,Female,,49,44,2,1,2,0,0
,90 Days to < 6 Months,All Birth Sexes,,188,161,12,1,3,14,2
,,Male,,112,96,8,1,3,8,0
,,Female,,76,65,4,0,0,6,2
,6 Months to < 1 Year,All Birth Sexes,,323,285,14,1,6,26,0
,,Male,,209,178,9,1,3,23,0
,,Female,,114,107,5,0,3,3,0
