,,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung
All Time,All Races/Ethnicities,All Ages,,"2,877","2,604",132,14,54,116,10
,,< 1 Year,,7,0,1,0,0,6,0
,,1-5 Years,,17,4,6,0,0,9,0
,,6-10 Years,,4,3,0,0,0,1,0
,,11-17 Years,,10,7,3,0,0,0,0
,,18-34 Years,,219,190,6,5,23,7,0
,,35-49 Years,,695,631,24,8,26,26,1
,,50-64 Years,,"1,221","1,109",70,1,5,45,4
,,65 +,,704,660,22,0,0,22,5
,"White, Non-Hispanic",All Ages,,"1,339","1,153",103,9,24,66,9
,,< 1 Year,,4,0,1,0,0,3,0
,,1-5 Years,,11,3,3,0,0,7,0
,,6-10 Years,,2,2,0,0,0,0,0
,,11-17 Years,,4,3,1,0,0,0,0
,,18-34 Years,,94,77,5,2,7,5,0
,,35-49 Years,,282,238,19,6,15,14,1
,,50-64 Years,,525,449,55,1,2,24,3
,,65 +,,417,381,19,0,0,13,5
,"Black, Non-Hispanic",All Ages,,"1,305","1,233",18,5,25,46,1
,,< 1 Year,,3,0,0,0,0,3,0
,,1-5 Years,,3,0,1,0,0,2,0
,,6-10 Years,,1,1,0,0,0,0,0
,,11-17 Years,,4,3,1,0,0,0,0
,,18-34 Years,,97,88,0,3,14,1,0
,,35-49 Years,,358,338,5,2,8,12,0
,,50-64 Years,,597,568,9,0,3,20,1
,,
,,65 +,,242,235,2,0,0,8,0
,Hispanic/Latino,All Ages,,124,114,9,0,2,0,0
,,1-5 Years,,3,1,2,0,0,0,0
,,18-34 Years,,23,21,1,0,1,0,0
,,35-49 Years,,28,28,0,0,1,0,0
,,50-64 Years,,47,41,6,0,0,0,0
,,65 +,,23,23,0,0,0,0,0
,Unknown,All Ages,,6,3,1,0,2,1,0
,,11-17 Years,,1,0,1,0,0,0,0
,,18-34 Years,,1,1,0,0,1,0,0
,,35-49 Years,,1,0,0,0,1,0,0
,,65 +,,3,2,0,0,0,1,0
,"Asian, Non-Hispanic",All Ages,,54,51,1,0,1,2,0
,,18-34 Years,,3,2,0,0,0,1,0
,,35-49 Years,,13,12,0,0,1,0,0
,,50-64 Years,,27,26,0,0,0,1,0
,,65 +,,11,11,1,0,0,0,0
,"American Indian/Alaska Native, Non-Hispanic",All Ages,,7,7,0,0,0,0,0
,,50-64 Years,,5,5,0,0,0,0,0
,,65 +,,2,2,0,0,0,0,0
,"Pacific Islander, Non-Hispanic",All Ages,,3,3,0,0,0,0,0
,,50-64 Years,,1,1,0,0,0,0,0
,,65 +,,2,2,0,0,0,0,0
,"Multiracial, Non-Hispanic",All Ages,,51,50,0,0,0,1,0
,,6-10 Years,,1,0,0,0,0,1,0
,,
,,11-17 Years,,1,1,0,0,0,0,0
,,18-34 Years,,3,3,0,0,0,0,0
,,35-49 Years,,18,18,0,0,0,0,0
,,50-64 Years,,22,22,0,0,0,0,0
,,65 +,,6,6,0,0,0,0,0
< 30 Days,All Races/Ethnicities,All Ages,,125,82,18,1,5,17,7
,,< 1 Year,,5,0,1,0,0,4,0
,,11-17 Years,,4,2,2,0,0,0,0
,,18-34 Years,,16,11,0,0,4,3,0
,,35-49 Years,,23,15,2,1,1,3,1
,,50-64 Years,,58,40,11,0,0,7,3
,,65 +,,19,14,2,0,0,0,3
,"White, Non-Hispanic",All Ages,,62,31,14,1,0,12,6
,,< 1 Year,,2,0,1,0,0,1,0
,,11-17 Years,,2,1,1,0,0,0,0
,,18-34 Years,,5,2,0,0,0,3,0
,,35-49 Years,,11,5,1,1,0,3,1
,,50-64 Years,,27,13,9,0,0,5,2
,,65 +,,15,10,2,0,0,0,3
,"Black, Non-Hispanic",All Ages,,54,44,2,0,5,5,1
,,< 1 Year,,3,0,0,0,0,3,0
,,18-34 Years,,11,9,0,0,4,0,0
,,35-49 Years,,9,7,1,0,1,0,0
,,50-64 Years,,28,25,1,0,0,2,1
,,65 +,,3,3,0,0,0,0,0
,,
,Hispanic/Latino,All Ages,,5,4,1,0,0,0,0
,,35-49 Years,,3,3,0,0,0,0,0
,,50-64 Years,,2,1,1,0,0,0,0
,Unknown,All Ages,,2,1,1,0,0,0,0
,,11-17 Years,,1,0,1,0,0,0,0
,,65 +,,1,1,0,0,0,0,0
,"Multiracial, Non-Hispanic",All Ages,,2,2,0,0,0,0,0
