,,,,All Donor Ages,< 1 Year,1-5 Years,18-34 Years
All Types,All Regions,All Center States,,158,107,50,1
,,Tennessee,,158,107,50,1
,Region  11,All Center States,,158,107,50,1
,,Tennessee,,158,107,50,1
Heart: Status 1A,All Regions,All Center States,,124,81,43,0
,,Tennessee,,124,81,43,0
,Region  11,All Center States,,124,81,43,0
,,Tennessee,,124,81,43,0
Heart: Status 1B,All Regions,All Center States,,2,2,0,0
,,Tennessee,,2,2,0,0
,Region  11,All Center States,,2,2,0,0
,,Tennessee,,2,2,0,0
Heart: Status 1,All Regions,All Center States,,32,24,7,1
,,Tennessee,,32,24,7,1
,Region  11,All Center States,,32,24,7,1
,,Tennessee,,32,24,7,1
