state,abbr,region,organ,tot_pop,median_income,poverty_share,uninsured_share,waitlist_all_time,waitlist_per_100k,waitlist_1y_plus,long_wait_share_1y_plus,est_mean_wait_days,pct_wait_1y_plus,pct_wait_5y_plus,mortality_crude_rate
All _Center_States,abb,reg,Kidney,,,,,94408,,61573,0.652201085,745.0152635,0.612601217,0.094668486,
Alabama,AL,South,Kidney,5157699,63999,0.904855053,0.124139854,995,19.29154842,567,0.569849246,745.0152635,0.612601217,0.094668486,1204.1
Arizona,AZ,West,Kidney,7582384,79964,0.827270948,0.138563017,2081,27.44519402,1056,0.507448342,745.0152635,0.612601217,0.094668486,952.2
Arkansas,AR,South,Kidney,3088354,60773,0.919518294,0.147630744,338,10.94434123,154,0.455621302,745.0152635,0.612601217,0.094668486,1188.3
California,CA,West,Kidney,39431263,99122,0.928029417,0.158955066,17864,45.30415371,13538,0.757836991,745.0152635,0.612601217,0.094668486,758.9
Colorado,CO,West,Kidney,5957494,95470,0.828230461,0.119273473,1285,21.569472,665,0.517509728,745.0152635,0.612601217,0.094668486,759.3
Connecticut,CT,Northeast,Kidney,3675069,95781,0.94337739,0.082123628,979,26.63895562,648,0.661899898,745.0152635,0.612601217,0.094668486,930.8
Delaware,DE,South,Kidney,1051917,84954,0.831169189,0.077118252,139,13.2139703,77,0.553956835,745.0152635,0.612601217,0.094668486,1049.1
District of Columbia,DC,South,Kidney,702250,109870,0.81303382,0.056972588,1118,159.2025632,603,0.539355993,745.0152635,0.612601217,0.094668486,765.6
Florida,FL,South,Kidney,23372215,74568,0.788833579,0.159616108,5289,22.62943414,2951,0.557950463,745.0152635,0.612601217,0.094668486,1041.9
Georgia,GA,South,Kidney,11180878,77353,0.844916294,0.158930274,2976,26.61687213,1452,0.487903226,745.0152635,0.612601217,0.094668486,900.1
Hawaii,HI,West,Kidney,1446146,100389,0.917177795,0.062147944,321,22.19692894,163,0.507788162,745.0152635,0.612601217,0.094668486,864.3
Illinois,IL,Midwest,Kidney,12710158,83390,0.986884427,0.123042294,3823,30.0783043,2170,0.567617055,745.0152635,0.612601217,0.094668486,932.7
Indiana,IN,Midwest,Kidney,6924275,71957,0.909036253,0.128338346,1247,18.00910565,795,0.637530072,745.0152635,0.612601217,0.094668486,1056.7
Iowa,IA,Midwest,Kidney,3241488,75059,0.9101533,0.07624955,530,16.35051557,314,0.59245283,745.0152635,0.612601217,0.094668486,1034.1
